date,LS unconditional,LS half when VHSI>25,Long-only top quintile,LS calm / long-only stressed,LS calm / long-only stressed (hedged),HSI buy&hold
2017-01-31,0.07410706006538686,0.07410706006538686,0.08266258458665719,0.07410706006538686,0.07410706006538686,0.0162644398003835
2017-02-28,0.0070902813671711255,0.0070902813671711255,0.022518952630363836,0.0070902813671711255,0.0070902813671711255,0.015621255117260535
2017-03-31,0.016339556706767976,0.016339556706767976,0.018205032697187498,0.016339556706767976,0.016339556706767976,0.020883732677936306
2017-04-30,-0.007837959215553365,-0.007837959215553365,0.03313385730462114,-0.007837959215553365,-0.007837959215553365,0.04247468934756804
2017-05-31,0.11024668853229463,0.11024668853229463,0.09259714115420481,0.11024668853229463,0.11024668853229463,0.004050170202235748
2017-06-30,0.05153449447735653,0.05153449447735653,0.11819784401913735,0.05153449447735653,0.05153449447735653,0.0605253413795217
2017-07-31,0.0353503004447948,0.0353503004447948,0.059392702685428886,0.0353503004447948,0.0353503004447948,0.023653573288527685
2017-08-31,-0.0017984222410406814,-0.0017984222410406814,0.08228125167092475,-0.0017984222410406814,-0.0017984222410406814,-0.01487291877455732
2017-09-30,-0.041644235076627956,-0.041644235076627956,0.017940382631755535,-0.041644235076627956,-0.041644235076627956,0.025086465633313182
2017-10-31,0.05468456519283618,0.05468456519283618,0.03300882688839846,0.05468456519283618,0.05468456519283618,0.032989633053572165
2017-11-30,-0.009014391224059955,-0.009014391224059955,0.02294216670736267,-0.009014391224059955,-0.009014391224059955,0.025423830471238862
2017-12-31,0.043241364902862206,0.043241364902862206,0.11088029379474326,0.043241364902862206,0.043241364902862206,0.09920468997280985
2018-01-31,0.07125147682237035,0.07125147682237035,0.0007049106220976713,0.07125147682237035,0.07125147682237035,-0.0621076179324096
2018-02-28,-0.015958459391456493,-0.015958459391456493,-0.017222714850889477,-0.015958459391456493,-0.015958459391456493,-0.02435878814915482
2018-03-31,-0.05528835352632154,-0.02764417676316077,-0.015665288149824246,-0.015665288149824246,-0.0365607465702356,0.023761704401433104
2018-04-30,0.05631689527169184,0.05631689527169184,0.06181136437990324,0.05631689527169184,0.05631689527169184,-0.011032362874471069
2018-05-31,0.012175951164910978,0.012175951164910978,-0.0261312596640405,0.012175951164910978,0.012175951164910978,-0.04967251488091329
2018-06-30,-0.04169881860042113,-0.04169881860042113,-0.035040268729359926,-0.04169881860042113,-0.04169881860042113,-0.012850926831222576
2018-07-31,-0.05993189293176608,-0.05993189293176608,-0.0696789956282706,-0.05993189293176608,-0.05993189293176608,-0.024296251514448586
2018-08-31,-0.09176749467629153,-0.09176749467629153,-0.04739068830904277,-0.09176749467629153,-0.09176749467629153,-0.0035867766520668587
2018-09-30,-0.013093309347598017,-0.013093309347598017,-0.1313492159062443,-0.013093309347598017,-0.013093309347598017,-0.10107879081001803
2018-10-31,-0.010695223950635255,-0.005347611975317627,0.06919646313987601,0.06919646313987601,8.23184294072854e-06,0.06113206368854063
2018-11-30,-0.013690047580807663,-0.013690047580807663,-0.06160495649502667,-0.013690047580807663,-0.013690047580807663,-0.024938930649740176
2018-12-31,0.0020074731520917932,0.0010037365760458966,0.09199533726695612,0.09199533726695612,0.003589838793017594,0.0811264543038106
2019-01-31,-0.012400862877189618,-0.012400862877189618,0.06084758127465093,-0.012400862877189618,-0.012400862877189618,0.024719003008681684
2019-02-28,0.001463107026368475,0.001463107026368475,0.026080165394113668,0.001463107026368475,0.001463107026368475,0.014604734786705542
2019-03-31,-0.040184377231827884,-0.040184377231827884,0.02288725896554909,-0.040184377231827884,-0.040184377231827884,0.022296718638989743
2019-04-30,0.021247083613108494,0.021247083613108494,-0.08276672483563384,0.021247083613108494,0.021247083613108494,-0.0942122508048221
2019-05-31,0.055939362341382304,0.055939362341382304,0.09314811717707443,0.055939362341382304,0.055939362341382304,0.06102094747833631
2019-06-30,0.004800454174613111,0.004800454174613111,0.014812063771593744,0.004800454174613111,0.004800454174613111,-0.02679746988888898
2019-07-31,0.00954631713614034,0.00954631713614034,-0.024720882304588854,0.00954631713614034,0.00954631713614034,-0.0739087939087939
2019-08-31,-0.01408715372057643,-0.01408715372057643,0.022593473806175275,-0.01408715372057643,-0.01408715372057643,0.014287419148811376
2019-09-30,0.07706532381742871,0.07706532381742871,0.08275438822038901,0.07706532381742871,0.07706532381742871,0.031214225515832972
2019-10-31,-0.0003061720276480587,-0.0003061720276480587,-0.00469547682102777,-0.0003061720276480587,-0.0003061720276480587,-0.02082119262399873
2019-11-30,-0.03550834261085793,-0.03550834261085793,0.06506984994795466,-0.03550834261085793,-0.03550834261085793,0.06996226062750677
2019-12-31,0.033326947360626955,0.033326947360626955,-0.027201343770867907,0.033326947360626955,0.033326947360626955,-0.06658874236202872
2020-01-31,0.08076668138117563,0.08076668138117563,0.039931130737846605,0.08076668138117563,0.08076668138117563,-0.006943433628641471
