effect,avg_daily_in,avg_daily_out,t,days_per_year,gross_ann,cost_ann,net_ann
Turn-of-month (last1+first3),0.0006427266973064891,3.168474061176956e-05,0.9039596611227811,49.36674259681093,0.031729323426027856,0.048,-0.016270676573972145
"Lunar NY (3 before,1 after)",0.0018876479482525849,0.00012189140799334461,0.8435066698265603,4.209567198177677,0.007946180884671474,0.004,0.003946180884671474
