date,Unconditional,Off when VHSI>25,Off when HSI<200dMA,Vol-target 15%
2017-01-31,1.0741070600653868,1.0741070600653868,1.0741070600653868,1.0741070600653868
2017-02-28,1.0817227813397154,1.0817227813397154,1.0817227813397154,1.0817227813397154
2017-03-31,1.0993976520664184,1.0993976520664184,1.0993976520664184,1.0993976520664184
2017-04-30,1.0907806181078465,1.0907806181078465,1.0907806181078465,1.0907806181078465
2017-05-31,1.211035569169446,1.211035569169446,1.211035569169446,1.211035569169446
2017-06-30,1.2734456750206913,1.2734456750206913,1.2734456750206913,1.2734456750206913
2017-07-31,1.3184623622327973,1.3184623622327973,1.3184623622327973,1.3184623622327973
2017-08-31,1.316091210196583,1.316091210196583,1.316091210196583,1.316091210196583
2017-09-30,1.2612835984568727,1.2612835984568727,1.2612835984568727,1.2612835984568727
2017-10-31,1.3302563436233426,1.3302563436233426,1.3302563436233426,1.3302563436233426
2017-11-30,1.3182648925136342,1.3182648925136342,1.3182648925136342,1.3182648925136342
2017-12-31,1.3752684657694487,1.3752684657694487,1.3752684657694487,1.3752684657694487
2018-01-31,1.4732583749827575,1.4732583749827575,1.4732583749827575,1.4762855766256586
2018-02-28,1.449747441032472,1.449747441032472,1.449747441032472,1.4518357029534166
2018-03-31,1.3695932919887888,1.449747441032472,1.3695932919887888,1.3714694760905881
2018-04-30,1.446724533978533,1.531392715839501,1.446724533978533,1.4394865837920552
2018-05-31,1.464339781253334,1.550038878761863,1.464339781253334,1.4548474639892814
2018-06-30,1.403278542345471,1.485404088732772,1.464339781253334,1.3915254777456911
2018-07-31,1.3191774029921775,1.396381009926432,1.464339781253334,1.3076913351825683
2018-08-31,1.1981197976860087,1.2682386230319336,1.464339781253334,1.1957549660998226
2018-09-30,1.1824324445394243,1.2516331824140048,1.464339781253334,1.183112982396885
2018-10-31,1.169786064738578,1.2516331824140048,1.464339781253334,1.1726855986888887
2018-11-30,1.153771637852941,1.2344982645930394,1.464339781253334,1.1585504238059183
2018-12-31,1.1560878034395758,1.2344982645930394,1.464339781253334,1.1605976027137783
2019-01-31,1.1417513171151303,1.2191894208916925,1.4461807044203976,1.1471978488938461
