label,ret,vol,sharpe,t,mdd,worst
Unconditional,0.16489866964626557,0.2500229434433058,0.6595341506474879,2.0505750071820334,-0.41551860432649756,-0.33254645450475356
Off when VHSI > 20,0.037912013182759094,0.1450303398343975,0.2614074629215433,0.8127488313251646,-0.3782478693519089,-0.33254645450475356
Off when VHSI > 25,0.14116032860633948,0.19814559801618783,0.7124070886238267,2.214963651900623,-0.3445327315457156,-0.33254645450475356
Off when VHSI > 30,0.1417215111481927,0.23201983476784205,0.610816360980511,1.8991052435645177,-0.34453273154571573,-0.33254645450475356
Off when VHSI > 2y median,0.12049696086038014,0.17196328198394983,0.7007133119942821,2.1786062228386514,-0.3445327315457156,-0.33254645450475356
Off when HSI < 200d MA,0.10912694223812644,0.1822122843040891,0.5989000283647588,1.862055859821249,-0.34453273154571573,-0.33254645450475356
Off when HSI drawdown > 15%,0.035491182934903776,0.0850503136579988,0.4172963203594947,1.2974269858173966,-0.2099336244106571,-0.1048107131356727
Half size when VHSI > 25,0.15302949912630254,0.21197474174794817,0.7219232719163523,2.2445506681366414,-0.3445327315457156,-0.33254645450475356
Vol-target 15% (ex-ante),0.13021607957105333,0.2054964055010678,0.6336659721786555,1.97014757185145,-0.36660076605354563,-0.28422685525130215
