ticker,period_end,revenue,net_income,eps,bvps,cfo,total_debt,roe,shares_out,announce_date,announce_date_est
101 HK Equity,2018-06-30,5150.0,4689.0,1.04,30.5898,2651.0,25870.0,6.7186,4497.71867,2018-07-30,False
101 HK Equity,2018-12-31,4258.0,3389.0,0.7534,30.5827,2339.0,27573.0,5.9024,4497.71867,2019-01-29,False
101 HK Equity,2019-06-30,4204.0,3516.0,0.78,30.7228,1575.0,31941.0,5.0075,4497.71867,2019-07-30,False
101 HK Equity,2019-12-31,4648.0,2656.0,0.5905,30.829,2557.0,29989.0,4.4687,4497.71867,2020-01-21,False
101 HK Equity,2020-06-30,4184.0,-2537.0,-0.56,29.3064,878.0,32889.0,0.0881,4497.71867,2020-07-30,False
101 HK Equity,2020-12-31,4789.0,-34.0,-0.0076,30.7459,1383.0,38245.0,-1.8566,4497.79967,2021-01-28,False
101 HK Equity,2021-06-30,4975.0,2235.0,0.5,30.9042,-651.0,41396.0,1.6252,4499.09067,2021-07-29,False
101 HK Equity,2021-12-31,5346.0,1633.0,0.363,31.5001,2088.0,46031.0,2.7627,4499.26067,2022-01-26,False
101 HK Equity,2022-06-30,5302.0,1948.0,0.43,30.3507,1154.0,44651.0,2.5988,4499.26067,2022-07-28,False
101 HK Equity,2022-12-31,5045.0,1888.0,0.4196,29.6468,1672.0,45817.0,2.7888,4499.26067,2023-01-31,False
101 HK Equity,2023-06-30,5237.0,2394.0,0.53,28.9115,1437.0,47441.0,3.2121,4499.26067,2023-07-31,False
101 HK Equity,2023-12-31,5079.0,1576.0,0.3503,29.4288,536.0,50982.0,2.9873,4499.26067,2024-01-30,False
101 HK Equity,2024-06-30,6114.0,1061.0,0.23,29.3352,1054.0,53497.0,2.0126,4712.49759,2024-07-30,False
101 HK Equity,2024-12-31,5128.0,1092.0,0.2298,27.5075,1973.0,57639.0,1.6311,4783.68153,2025-01-24,False
101 HK Equity,2025-06-30,4968.0,912.0,0.19,27.8278,1398.0,55051.0,1.5118,5002.01194,2025-07-30,False
101 HK Equity,2025-12-31,4982.0,894.0,0.1776,26.6421,2649.0,53869.0,1.3563,5056.64644,2026-01-30,False
101 HK Equity,2026-06-30,6113.0,758.0,0.15,26.6316,2668.0,53842.0,1.2161,5203.08253,2026-07-31,False
1024 HK Equity,2019-06-30,17078.177,-268.694,,,3351.065,,,,2020-11-05,False
