date,top,bottom,long_short,universe
2017-01-31,1.082662584586657,1.0085555245212703,1.0741070600653868,1.0342836572256948
2017-02-28,1.1070430120436312,1.024116196159786,1.0817227813397154,1.0583266969158185
2017-03-31,1.1271967662750784,1.0260266603351218,1.0993976520664184,1.071025634914565
2017-04-30,1.1645451430830671,1.0680648364071799,1.0907806181078465,1.1243735085108166
2017-05-31,1.2723786940775734,1.0492139754741394,1.211035569169446,1.154173521861618
2017-06-30,1.4227711124934281,1.1191580934652934,1.2734456750206913,1.2298664502926355
2017-07-31,1.5072733341671671,1.146065342519247,1.3184623622327973,1.2706107921682688
2017-08-31,1.6312936707126497,1.2424261428000702,1.316091210196583,1.319139866401248
2017-09-30,1.6605597033499955,1.3164556295497138,1.2612835984568727,1.3563675619190945
2017-10-31,1.7153728311357257,1.2879204818341905,1.3302563436233426,1.3676305512423963
2017-11-30,1.754727200592922,1.3290779873229908,1.3182648925136342,1.4286634661395565
2017-12-31,1.9492918681242926,1.418975398799295,1.3752684657694487,1.5550200575153146
2018-01-31,1.9506659446677022,1.3188715568913423,1.4732583749827575,1.4884779042467977
2018-02-28,1.9170701813333495,1.3172041663252516,1.449747441032472,1.476990724876349
2018-03-31,1.8870387245393268,1.3693958331217517,1.3695932919887888,1.5078531231553358
2018-04-30,2.003679162740815,1.3769199362237527,1.446724533978533,1.553801412924724
2018-05-31,1.9513205022558076,1.324173973932243,1.464339781253334,1.4794952205717657
2018-06-30,1.8829457074796545,1.332991052375632,1.403278542345471,1.4713465210980348
2018-07-31,1.7517439417599088,1.3199982516946052,1.3191774029921775,1.4247896551907178
2018-08-31,1.668727590618711,1.3785755585151636,1.1981197976860087,1.427660173892293
2018-09-30,1.449541530029827,1.2155508560833608,1.1824324445394243,1.2835443576819996
2018-10-31,1.5498446770822556,1.3126632647201757,1.169786064738578,1.372350521581178
2018-11-30,1.4543665631765545,1.249767123956067,1.153771637852941,1.3206115413334347
2018-12-31,1.5881615056657656,1.3622309980818506,1.1560878034395758,1.437360862935453
2019-01-31,1.6847972919590353,1.462012299266755,1.1417513171151303,1.510406139168728
2019-02-28,1.7287370839888816,1.4980027413721662,1.1434218214895668,1.5542884663067547
2019-03-31,1.7683031373134834,1.5924842252986646,1.0974741276797264,1.590869065084777
2019-04-30,1.6219464781214703,1.4268438761308055,1.1207922522337608,1.4559089771820688
2019-05-31,1.7730277387204723,1.4799349601065652,1.1834886561408788,1.5439243301076735
2019-06-30,1.7992899386552046,1.4947514911560753,1.1891699392008577,1.5399987509014847
2019-07-31,1.7548099038498786,1.4435305436943027,1.2005221325692337,1.4631559121129378
2019-08-31,1.7944571554473276,1.4964801498910427,1.1836101927427767,1.4833062580431153
2019-09-30,1.9429563595340706,1.5049937218415246,1.2748254955201082,1.5575828150451878
2019-10-31,1.93383325298361,1.4983878456842392,1.2744351796132474,1.5474932753303803
2019-11-30,2.0596674925796186,1.6490929869552529,1.22918209862021,1.6639256412827592
2019-12-31,2.003641769060279,1.5492762065379189,1.2701469857175507,1.575086056331675
