code,name,shareholding,pct,date
00001,CK HUTCHISON HOLDINGS LIMITED,120980889,3.15,2025-11-25
00002,CLP HOLDINGS LIMITED,43311178,1.7,2025-11-25
00003,"HONG KONG AND CHINA GAS COMPANY LIMITED, THE",667064750,3.57,2025-11-25
00004,"WHARF (HOLDINGS) LIMITED, THE",5249950,0.16,2025-11-25
00005,HSBC HOLDINGS PLC,1559941214,9.07,2025-11-25
00006,POWER ASSETS HOLDINGS LIMITED,148510685,6.95,2025-11-25
00008,PCCW LIMITED,264490096,3.4,2025-11-25
00010,HANG LUNG GROUP LIMITED,22866000,1.67,2025-11-25
00011,HANG SENG BANK LTD -HKD TRADED SHARES,11170885,0.59,2025-11-25
00012,HENDERSON LAND DEVELOPMENT CO LTD,75204976,1.54,2025-11-25
00013,HUTCHMED (CHINA) LIMITED,243701513,27.93,2025-11-25
00014,HYSAN DEVELOPMENT COMPANY LIMITED,32726020,3.18,2025-11-25
00016,SUN HUNG KAI PROPERTIES LIMITED -HKD TRADED SHARES,74738484,2.57,2025-11-25
00017,NEW WORLD DEVELOPMENT CO LTD,132140201,5.24,2025-11-25
00019,SWIRE PACIFIC LTD 'A',13052289,1.67,2025-11-25
00020,SENSETIME GROUP INC. -HKD TRADED SHARES,10126135266,26.17,2025-11-25
00023,BANK OF EAST ASIA LTD,596124,0.01,2025-11-25
00027,GALAXY ENTERTAINMENT GROUP LIMITED,78921273,1.79,2025-11-25
00035,FAR EAST CONSORTIUM INTERNATIONAL LTD,426843,0.01,2025-11-25
00038,FIRST TRACTOR COMPANY LIMITED,208481979,53.18,2025-11-25
00041,GREAT EAGLE HOLDINGS LIMITED,19674608,2.62,2025-11-25
00042,NORTHEAST ELECTRIC DEVELOPMENT COMPANY LIMITED,6374000,2.47,2025-11-25
00045,"HONGKONG AND SHANGHAI HOTELS LTD,THE",17520,0.0,2025-11-25
00059,SKYFAME REALTY (HOLDINGS) LIMITED,1823710000,21.59,2025-11-25
00066,MTR CORPORATION LIMITED,82241796,1.31,2025-11-25
00069,SHANGRI-LA ASIA LIMITED,10940000,0.29,2025-11-25
00081,CHINA OVERSEAS GRAND OCEANS GROUP LIMITED,536787807,15.07,2025-11-25
00083,SINO LAND CO.LTD.,135627429,1.48,2025-11-25
00086,SUN HUNG KAI & CO.LTD,23358000,1.18,2025-11-25
00087,SWIRE PACIFIC LTD 'B',63405000,2.21,2025-11-25
00095,LVGEM (CHINA) REAL ESTATE INVESTMENT COMPANY LIMITED,610926000,9.59,2025-11-25
00101,HANG LUNG PROPERTIES LIMITED,400636163,7.92,2025-11-25
00107,SICHUAN EXPRESSWAY COMPANY LIMITED,401243207,44.8,2025-11-25
00116,CHOW SANG SANG HOLDINGS INTERNATIONAL LIMITED,7571000,1.12,2025-11-25
00119,"POLY PROPERTY GROUP CO., LIMITED",1046751448,27.38,2025-11-25
00120,COSMOPOLITAN INTERNATIONAL HOLDINGS LTD,61052800,4.55,2025-11-25
00123,YUEXIU PROPERTY COMPANY LIMITED,555668301,13.79,2025-11-25
00124,GUANGDONG LAND HOLDINGS LIMITED,12953276,0.75,2025-11-25
00127,CHINESE ESTATES HOLDINGS LIMITED,899500,0.03,2025-11-25
00135,KUNLUN ENERGY COMPANY LIMITED,1450726305,16.75,2025-11-25
00136,CHINA RUYI HOLDINGS LIMITED,3857851629,23.52,2025-11-25
00142,FIRST PACIFIC CO. LTD.,117547000,2.75,2025-11-25
00144,CHINA MERCHANTS PORT HOLDINGS COMPANY LIMITED,341964730,8.13,2025-11-25
00148,KINGBOARD HOLDINGS LIMITED,50596500,4.56,2025-11-25
00151,WANT WANT CHINA HOLDINGS LIMITED,199398869,1.68,2025-11-25
00152,SHENZHEN INTERNATIONAL HOLDINGS LIMITED,445120901,18.21,2025-11-25
00163,EMPEROR INTERNATIONAL HOLDINGS LIMITED,5368000,0.09,2025-11-25
00165,CHINA EVERBRIGHT LIMITED,415418403,24.64,2025-11-25
00168,TSINGTAO BREWERY COMPANY LIMITED,307003998,46.85,2025-11-25
00173,K. WAH INTERNATIONAL HOLDINGS LIMITED,109791629,3.47,2025-11-25
00175,GEELY AUTOMOBILE HOLDINGS LIMITED -HKD TRADED SHARES,1241119399,12.26,2025-11-25
00177,JIANGSU EXPRESSWAY COMPANY LIMITED,577751835,47.27,2025-11-25
00178,SA SA INTERNATIONAL HOLDINGS LIMITED,1829183,0.05,2025-11-25
00179,JOHNSON ELECTRIC HOLDINGS LIMITED,109582106,11.71,2025-11-25
00185,ZENSUN ENTERPRISES LIMITED,19993000,1.03,2025-11-25
00187,BEIJING JINGCHENG MACHINERY ELECTRIC COMPANY LIMITED,51262000,51.26,2025-11-25
00189,DONGYUE GROUP LIMITED,548738902,31.66,2025-11-25
00200,MELCO INTERNATIONAL DEVELOPMENT LIMITED,136404550,5.99,2025-11-25
00207,JOY CITY PROPERTY LIMITED,3286000,0.02,2025-11-25
00215,HUTCHISON TELECOMMUNICATIONS HONG KONG HOLDINGS LIMITED,20962000,0.42,2025-11-25
00220,UNI-PRESIDENT CHINA HOLDINGS LTD.,394695948,9.13,2025-11-25
00241,ALIBABA HEALTH INFORMATION TECHNOLOGY LIMITED,1780609753,11.0,2025-11-25
00242,SHUN TAK HOLDINGS LIMITED,105554000,3.49,2025-11-25
00245,CHINA VERED FINANCIAL HOLDING CORPORATION LIMITED,1086000,0.05,2025-11-25
00256,CITYCHAMP WATCH & JEWELLERY GROUP LIMITED,1047090000,24.05,2025-11-25
00257,CHINA EVERBRIGHT ENVIRONMENT GROUP LIMITED,1896974597,30.87,2025-11-25
00267,CITIC LIMITED,1436998145,4.93,2025-11-25
00268,KINGDEE INTERNATIONAL SOFTWARE GROUP COMPANY LIMITED,979009957,27.57,2025-11-25
00270,GUANGDONG INVESTMENT LIMITED,518793478,7.92,2025-11-25
00272,SHUI ON LAND LIMITED,948039000,11.8,2025-11-25
00279,ARTA TECHFIN CORPORATION LIMITED,13914350,1.09,2025-11-25
00285,BYD ELECTRONIC (INTERNATIONAL) COMPANY LIMITED,252128774,11.18,2025-11-25
00288,WH GROUP LIMITED,619420478,4.82,2025-11-25
00291,CHINA RESOURCES BEER (HOLDINGS) COMPANY LIMITED-HKD TRADED SHARES,213249153,6.56,2025-11-25
00293,CATHAY PACIFIC AIRWAYS LTD,102744000,1.52,2025-11-25
00295,KONG SUN HOLDINGS LIMITED,32425000,0.21,2025-11-25
00296,EMPEROR ENTERTAINMENT HOTEL LIMITED,526621,0.04,2025-11-25
00297,SINOFERT HOLDINGS LIMITED,1771700200,25.21,2025-11-25
00299,GLORY SUN LAND GROUP LIMITED,5112513,4.67,2025-11-25
00300,"MIDEA GROUP CO., LTD.",114701739,17.62,2025-11-25
00302,CMGE TECHNOLOGY GROUP LIMITED,201596200,6.72,2025-11-25
00303,VTECH HOLDINGS LIMITED,14048237,5.54,2025-11-25
00308,CHINA TRAVEL INTERNATIONAL INVESTMENT HONG KONG LIMITED,345797829,6.23,2025-11-25
00314,"SIPAI HEALTH TECHNOLOGY CO., LTD.",139941200,18.27,2025-11-25
00315,SMARTONE TELECOMMUNICATIONS HOLDINGS LIMITED,710034,0.06,2025-11-25
00316,ORIENT OVERSEAS (INTERNATIONAL) LIMITED,23138100,3.49,2025-11-25
00317,CSSC OFFSHORE & MARINE ENGINEERING (GROUP) COMPANY LIMITED,140100200,23.65,2025-11-25
00321,TEXWINCA HOLDINGS LIMITED,666000,0.04,2025-11-25
00322,TINGYI (CAYMAN ISLANDS) HOLDING CORP.,273463923,4.84,2025-11-25
00323,MAANSHAN IRON & STEEL COMPANY LIMITED,284418000,16.4,2025-11-25
00325,BLOKS GROUP LIMITED,16283153,6.52,2025-11-25
00327,PAX GLOBAL TECHNOLOGY LIMITED,59814000,5.63,2025-11-25
00330,ESPRIT HOLDINGS LIMITED,538565,0.18,2025-11-25
00336,HUABAO INTERNATIONAL HOLDINGS LIMITED,655771707,20.3,2025-11-25
00337,GREENLAND HONG KONG HOLDINGS LIMITED,61233000,2.19,2025-11-25
00338,SINOPEC SHANGHAI PETROCHEMICAL COMPANY LIMITED,1071500000,33.33,2025-11-25
00341,CAFE DE CORAL HOLDINGS LTD,29618000,5.1,2025-11-25
00345,VITASOY INTERNATIONAL HOLDINGS LTD,32204000,3.08,2025-11-25
00347,ANGANG STEEL COMPANY LIMITED,172414400,12.21,2025-11-25
00354,CHINASOFT INTERNATIONAL LIMITED,882599921,32.3,2025-11-25
00358,JIANGXI COPPER COMPANY LIMITED,316568023,22.8,2025-11-25
00363,SHANGHAI INDUSTRIAL HOLDINGS LIMITED,69556301,6.39,2025-11-25
00371,BEIJING ENTERPRISES WATER GROUP LIMITED,1776711967,17.68,2025-11-25
00384,CHINA GAS HOLDINGS LIMITED,1113215954,20.42,2025-11-25
00386,CHINA PETROLEUM & CHEMICAL CORPORATION,6630391523,27.68,2025-11-25
00388,HONG KONG EXCHANGES AND CLEARING LIMITED -HKD TRADED SHARES,69321292,5.46,2025-11-25
00390,CHINA RAILWAY GROUP LIMITED,1318924418,31.34,2025-11-25
00392,BEIJING ENTERPRISES HOLDINGS LIMITED,260244509,20.68,2025-11-25
00400,"INGDAN, INC.",20768000,1.25,2025-11-25
00405,YUEXIU REAL ESTATE INVESTMENT TRUST,155903,0.0,2025-11-25
00410,SOHO CHINA LIMITED,734362510,14.11,2025-11-25
00412,SHANDONG HI-SPEED HOLDINGS GROUP LIMITED,974376500,16.17,2025-11-25
