code,name,shareholding,pct,date
00001,CK HUTCHISON HOLDINGS LIMITED,98042755,2.55,2026-02-26
00002,CLP HOLDINGS LIMITED,49528178,1.95,2026-02-26
00003,"HONG KONG AND CHINA GAS COMPANY LIMITED, THE",589318650,3.15,2026-02-26
00004,"WHARF (HOLDINGS) LIMITED, THE",4880950,0.15,2026-02-26
00005,HSBC HOLDINGS PLC,1572740577,9.14,2026-02-26
00006,POWER ASSETS HOLDINGS LIMITED,216914011,10.17,2026-02-26
00008,PCCW LIMITED,252118096,3.24,2026-02-26
00010,HANG LUNG GROUP LIMITED,21853000,1.6,2026-02-26
00012,HENDERSON LAND DEVELOPMENT CO LTD,81941708,1.68,2026-02-26
00013,HUTCHMED (CHINA) LIMITED,230959383,26.47,2026-02-26
00014,HYSAN DEVELOPMENT COMPANY LIMITED,30402725,2.95,2026-02-26
00016,SUN HUNG KAI PROPERTIES LIMITED -HKD TRADED SHARES,69676334,2.39,2026-02-26
00017,NEW WORLD DEVELOPMENT CO LTD,120954519,4.8,2026-02-26
00019,SWIRE PACIFIC LTD 'A',10860000,1.38,2026-02-26
00020,SENSETIME GROUP INC. -HKD TRADED SHARES,10815177286,26.74,2026-02-26
00023,BANK OF EAST ASIA LTD,518119,0.01,2026-02-26
00027,GALAXY ENTERTAINMENT GROUP LIMITED,76457209,1.74,2026-02-26
00035,FAR EAST CONSORTIUM INTERNATIONAL LTD,426843,0.01,2026-02-26
00038,FIRST TRACTOR COMPANY LIMITED,196235949,50.06,2026-02-26
00041,GREAT EAGLE HOLDINGS LIMITED,20093608,2.67,2026-02-26
00042,NORTHEAST ELECTRIC DEVELOPMENT COMPANY LIMITED,6344000,2.45,2026-02-26
00045,"HONGKONG AND SHANGHAI HOTELS LTD,THE",17520,0.0,2026-02-26
00059,SKYFAME REALTY (HOLDINGS) LIMITED,1823710000,21.59,2026-02-26
00066,MTR CORPORATION LIMITED,137554046,2.2,2026-02-26
00069,SHANGRI-LA ASIA LIMITED,10830000,0.29,2026-02-26
00081,CHINA OVERSEAS GRAND OCEANS GROUP LIMITED,554951218,15.58,2026-02-26
00083,SINO LAND CO.LTD.,121023508,1.27,2026-02-26
00086,SUN HUNG KAI & CO.LTD,23241000,1.18,2026-02-26
00087,SWIRE PACIFIC LTD 'B',61292500,2.14,2026-02-26
00095,LVGEM (CHINA) REAL ESTATE INVESTMENT COMPANY LIMITED,593186000,9.31,2026-02-26
00101,HANG LUNG PROPERTIES LIMITED,327788011,6.47,2026-02-26
00107,SICHUAN EXPRESSWAY COMPANY LIMITED,413945207,46.22,2026-02-26
00116,CHOW SANG SANG HOLDINGS INTERNATIONAL LIMITED,7457000,1.11,2026-02-26
00119,"POLY PROPERTY GROUP CO., LIMITED",1028942383,26.91,2026-02-26
00120,COSMOPOLITAN INTERNATIONAL HOLDINGS LTD,57560200,3.5,2026-02-26
00123,YUEXIU PROPERTY COMPANY LIMITED,523262197,12.99,2026-02-26
00124,GUANGDONG LAND HOLDINGS LIMITED,12726020,0.73,2026-02-26
00127,CHINESE ESTATES HOLDINGS LIMITED,899500,0.03,2026-02-26
00135,KUNLUN ENERGY COMPANY LIMITED,1279815546,14.77,2026-02-26
00136,CHINA RUYI HOLDINGS LIMITED,4137724537,24.62,2026-02-26
00142,FIRST PACIFIC CO. LTD.,115378999,2.7,2026-02-26
00144,CHINA MERCHANTS PORT HOLDINGS COMPANY LIMITED,332696580,7.91,2026-02-26
00148,KINGBOARD HOLDINGS LIMITED,63128500,5.69,2026-02-26
00151,WANT WANT CHINA HOLDINGS LIMITED,202138869,1.71,2026-02-26
00152,SHENZHEN INTERNATIONAL HOLDINGS LIMITED,476572672,19.5,2026-02-26
00163,EMPEROR INTERNATIONAL HOLDINGS LIMITED,5268000,0.09,2026-02-26
00165,CHINA EVERBRIGHT LIMITED,457082403,27.12,2026-02-26
00168,TSINGTAO BREWERY COMPANY LIMITED,306584412,46.79,2026-02-26
00173,K. WAH INTERNATIONAL HOLDINGS LIMITED,128365629,4.06,2026-02-26
00175,GEELY AUTOMOBILE HOLDINGS LIMITED -HKD TRADED SHARES,1276182069,11.77,2026-02-26
00177,JIANGSU EXPRESSWAY COMPANY LIMITED,667449835,54.61,2026-02-26
00178,SA SA INTERNATIONAL HOLDINGS LIMITED,1815183,0.05,2026-02-26
00179,JOHNSON ELECTRIC HOLDINGS LIMITED,88156568,9.42,2026-02-26
00185,ZENSUN ENTERPRISES LIMITED,19537000,1.01,2026-02-26
00187,BEIJING JINGCHENG MACHINERY ELECTRIC COMPANY LIMITED,48566000,48.56,2026-02-26
00189,DONGYUE GROUP LIMITED,551505229,31.81,2026-02-26
00200,MELCO INTERNATIONAL DEVELOPMENT LIMITED,152395050,6.69,2026-02-26
00215,HUTCHISON TELECOMMUNICATIONS HONG KONG HOLDINGS LIMITED,3702000,0.07,2026-02-26
00220,UNI-PRESIDENT CHINA HOLDINGS LTD.,426939706,9.87,2026-02-26
00241,ALIBABA HEALTH INFORMATION TECHNOLOGY LIMITED,1985860868,12.27,2026-02-26
00242,SHUN TAK HOLDINGS LIMITED,103928000,3.43,2026-02-26
00245,CHINA VERED FINANCIAL HOLDING CORPORATION LIMITED,1084500,0.05,2026-02-26
00256,CITYCHAMP WATCH & JEWELLERY GROUP LIMITED,992460000,22.79,2026-02-26
00257,CHINA EVERBRIGHT ENVIRONMENT GROUP LIMITED,1827869876,29.74,2026-02-26
00267,CITIC LIMITED,1576246005,5.41,2026-02-26
00268,KINGDEE INTERNATIONAL SOFTWARE GROUP COMPANY LIMITED,1061723993,29.9,2026-02-26
00270,GUANGDONG INVESTMENT LIMITED,474277659,7.24,2026-02-26
00272,SHUI ON LAND LIMITED,938011000,11.67,2026-02-26
00279,ARTA TECHFIN CORPORATION LIMITED,13786150,1.08,2026-02-26
00285,BYD ELECTRONIC (INTERNATIONAL) COMPANY LIMITED,268239898,11.9,2026-02-26
00288,WH GROUP LIMITED,782344881,6.09,2026-02-26
00291,CHINA RESOURCES BEER (HOLDINGS) COMPANY LIMITED-HKD TRADED SHARES,241639338,7.44,2026-02-26
00293,CATHAY PACIFIC AIRWAYS LTD,101647000,1.5,2026-02-26
00295,KONG SUN HOLDINGS LIMITED,32425000,0.21,2026-02-26
00296,EMPEROR ENTERTAINMENT HOTEL LIMITED,501621,0.04,2026-02-26
00297,SINOFERT HOLDINGS LIMITED,1622902200,23.09,2026-02-26
00299,GLORY SUN LAND GROUP LIMITED,5112513,4.67,2026-02-26
00300,"MIDEA GROUP CO., LTD.",107937531,16.58,2026-02-26
00302,CMGE TECHNOLOGY GROUP LIMITED,192224200,6.4,2026-02-26
00303,VTECH HOLDINGS LIMITED,20205371,7.96,2026-02-26
00308,CHINA TRAVEL INTERNATIONAL INVESTMENT HONG KONG LIMITED,315271829,5.69,2026-02-26
00314,"SIPAI HEALTH TECHNOLOGY CO., LTD.",134808800,17.6,2026-02-26
00315,SMARTONE TELECOMMUNICATIONS HOLDINGS LIMITED,708034,0.06,2026-02-26
00316,ORIENT OVERSEAS (INTERNATIONAL) LIMITED,21968700,3.32,2026-02-26
00317,CSSC OFFSHORE & MARINE ENGINEERING (GROUP) COMPANY LIMITED,131834200,22.25,2026-02-26
00321,TEXWINCA HOLDINGS LIMITED,666000,0.04,2026-02-26
00322,TINGYI (CAYMAN ISLANDS) HOLDING CORP.,294397476,5.21,2026-02-26
00323,MAANSHAN IRON & STEEL COMPANY LIMITED,292474000,16.87,2026-02-26
00325,BLOKS GROUP LIMITED,17178001,6.88,2026-02-26
00327,PAX GLOBAL TECHNOLOGY LIMITED,72685000,6.83,2026-02-26
00330,ESPRIT HOLDINGS LIMITED,536355,0.18,2026-02-26
00336,HUABAO INTERNATIONAL HOLDINGS LIMITED,637739100,19.73,2026-02-26
