code,name,shareholding,pct,date
00001,CK HUTCHISON HOLDINGS LIMITED,74463706,1.93,2026-08-05
00002,CLP HOLDINGS LIMITED,50907178,2.0,2026-08-05
00003,"HONG KONG AND CHINA GAS COMPANY LIMITED, THE",454345593,2.43,2026-08-05
00004,"WHARF (HOLDINGS) LIMITED, THE",4693950,0.14,2026-08-05
00005,HSBC HOLDINGS PLC,1535560153,8.93,2026-08-05
00006,POWER ASSETS HOLDINGS LIMITED,178561919,8.37,2026-08-05
00008,PCCW LIMITED,233192096,3.0,2026-08-05
00010,HANG LUNG GROUP LIMITED,21636000,1.58,2026-08-05
00012,HENDERSON LAND DEVELOPMENT CO LTD,66980615,1.38,2026-08-05
00013,HUTCHMED (CHINA) LIMITED,233441255,26.75,2026-08-05
00014,HYSAN DEVELOPMENT COMPANY LIMITED,26211325,2.55,2026-08-05
00016,SUN HUNG KAI PROPERTIES LIMITED -HKD TRADED SHARES,66053232,2.27,2026-08-05
00017,NEW WORLD DEVELOPMENT CO LTD,113357519,4.49,2026-08-05
00019,SWIRE PACIFIC LTD 'A',9235500,1.17,2026-08-05
00020,SENSETIME GROUP INC. -HKD TRADED SHARES,9903974266,23.45,2026-08-05
00023,BANK OF EAST ASIA LTD,2447030,0.08,2026-08-05
00027,GALAXY ENTERTAINMENT GROUP LIMITED,40822848,0.93,2026-08-05
00035,FAR EAST CONSORTIUM INTERNATIONAL LTD,426843,0.01,2026-08-05
00038,FIRST TRACTOR COMPANY LIMITED,207086643,52.83,2026-08-05
00041,GREAT EAGLE HOLDINGS LIMITED,17503162,2.33,2026-08-05
00042,NORTHEAST ELECTRIC DEVELOPMENT COMPANY LIMITED,6052000,2.34,2026-08-05
00045,"HONGKONG AND SHANGHAI HOTELS LTD,THE",17520,0.0,2026-08-05
00059,SKYFAME REALTY (HOLDINGS) LIMITED,1823710000,21.59,2026-08-05
00066,MTR CORPORATION LIMITED,126784046,2.03,2026-08-05
00069,SHANGRI-LA ASIA LIMITED,10712000,0.29,2026-08-05
00081,CHINA OVERSEAS GRAND OCEANS GROUP LIMITED,649142126,18.23,2026-08-05
00083,SINO LAND CO.LTD.,110860855,1.15,2026-08-05
00086,SUN HUNG KAI & CO.LTD,22677000,1.15,2026-08-05
00087,SWIRE PACIFIC LTD 'B',51201276,1.79,2026-08-05
00095,LVGEM (CHINA) REAL ESTATE INVESTMENT COMPANY LIMITED,539134000,8.46,2026-08-05
00101,HANG LUNG PROPERTIES LIMITED,299400839,5.74,2026-08-05
00107,SICHUAN EXPRESSWAY COMPANY LIMITED,445829807,49.78,2026-08-05
00116,CHOW SANG SANG HOLDINGS INTERNATIONAL LIMITED,7150000,1.06,2026-08-05
00119,"POLY PROPERTY GROUP CO., LIMITED",852103430,22.29,2026-08-05
00120,COSMOPOLITAN INTERNATIONAL HOLDINGS LTD,53424600,3.25,2026-08-05
00123,YUEXIU PROPERTY COMPANY LIMITED,563619457,13.99,2026-08-05
00124,GUANGDONG LAND HOLDINGS LIMITED,12211100,0.71,2026-08-05
00127,CHINESE ESTATES HOLDINGS LIMITED,891500,0.03,2026-08-05
00135,KUNLUN ENERGY COMPANY LIMITED,1293846228,14.97,2026-08-05
00136,CHINA RUYI HOLDINGS LIMITED,4221675825,25.12,2026-08-05
00142,FIRST PACIFIC CO. LTD.,102761000,2.4,2026-08-05
00144,CHINA MERCHANTS PORT HOLDINGS COMPANY LIMITED,321433872,7.65,2026-08-05
00148,KINGBOARD HOLDINGS LIMITED,258599352,23.04,2026-08-05
00151,WANT WANT CHINA HOLDINGS LIMITED,174373201,1.47,2026-08-05
00152,SHENZHEN INTERNATIONAL HOLDINGS LIMITED,505740579,20.62,2026-08-05
00163,EMPEROR INTERNATIONAL HOLDINGS LIMITED,5178000,0.09,2026-08-05
00165,CHINA EVERBRIGHT LIMITED,478178403,28.36,2026-08-05
00168,TSINGTAO BREWERY COMPANY LIMITED,321243007,49.03,2026-08-05
00173,K. WAH INTERNATIONAL HOLDINGS LIMITED,158555055,5.02,2026-08-05
00175,GEELY AUTOMOBILE HOLDINGS LIMITED -HKD TRADED SHARES,1170688298,10.78,2026-08-05
00177,JIANGSU EXPRESSWAY COMPANY LIMITED,738267576,60.4,2026-08-05
00178,SA SA INTERNATIONAL HOLDINGS LIMITED,1777183,0.05,2026-08-05
00179,JOHNSON ELECTRIC HOLDINGS LIMITED,94349956,10.08,2026-08-05
00185,ZENSUN ENTERPRISES LIMITED,18889000,0.98,2026-08-05
00187,BEIJING JINGCHENG MACHINERY ELECTRIC COMPANY LIMITED,54846000,54.84,2026-08-05
00189,DONGYUE GROUP LIMITED,579408998,33.42,2026-08-05
00200,MELCO INTERNATIONAL DEVELOPMENT LIMITED,162601300,7.13,2026-08-05
00215,HUTCHISON TELECOMMUNICATIONS HONG KONG HOLDINGS LIMITED,3010000,0.06,2026-08-05
00220,UNI-PRESIDENT CHINA HOLDINGS LTD.,549012716,12.7,2026-08-05
00241,ALIBABA HEALTH INFORMATION TECHNOLOGY LIMITED,1959443242,12.1,2026-08-05
00242,SHUN TAK HOLDINGS LIMITED,101452000,3.35,2026-08-05
00245,CHINA VERED FINANCIAL HOLDING CORPORATION LIMITED,1054000,0.04,2026-08-05
00256,CITYCHAMP WATCH & JEWELLERY GROUP LIMITED,879761364,16.94,2026-08-05
00257,CHINA EVERBRIGHT ENVIRONMENT GROUP LIMITED,1869779654,30.43,2026-08-05
00267,CITIC LIMITED,2077500005,7.13,2026-08-05
00268,KINGDEE INTERNATIONAL SOFTWARE GROUP COMPANY LIMITED,792100309,22.53,2026-08-05
00270,GUANGDONG INVESTMENT LIMITED,618337155,9.45,2026-08-05
00272,SHUI ON LAND LIMITED,857931000,10.68,2026-08-05
00279,ARTA TECHFIN CORPORATION LIMITED,13413450,0.96,2026-08-05
00285,BYD ELECTRONIC (INTERNATIONAL) COMPANY LIMITED,245116610,10.87,2026-08-05
00288,WH GROUP LIMITED,750266788,5.83,2026-08-05
00290,GOFINTECH QUANTUM INNOVATION LIMITED,207979000,2.0,2026-08-05
00291,CHINA RESOURCES BEER (HOLDINGS) COMPANY LIMITED-HKD TRADED SHARES,217495676,6.7,2026-08-05
00293,CATHAY PACIFIC AIRWAYS LTD,113340333,1.86,2026-08-05
00295,KONG SUN HOLDINGS LIMITED,30475000,0.2,2026-08-05
00296,EMPEROR ENTERTAINMENT HOTEL LIMITED,500695,0.04,2026-08-05
00297,SINOFERT HOLDINGS LIMITED,1891482200,26.92,2026-08-05
00299,GLORY SUN LAND GROUP LIMITED,5112513,4.67,2026-08-05
00300,"MIDEA GROUP CO., LTD.",165736952,25.46,2026-08-05
00302,CMGE TECHNOLOGY GROUP LIMITED,180912200,5.79,2026-08-05
00303,VTECH HOLDINGS LIMITED,20661374,8.14,2026-08-05
00308,CHINA TRAVEL INTERNATIONAL INVESTMENT HONG KONG LIMITED,306349829,5.52,2026-08-05
00314,"SIPAI HEALTH TECHNOLOGY CO., LTD.",106008200,13.84,2026-08-05
00315,SMARTONE TELECOMMUNICATIONS HOLDINGS LIMITED,676534,0.06,2026-08-05
00316,ORIENT OVERSEAS (INTERNATIONAL) LIMITED,28976200,4.37,2026-08-05
00317,CSSC OFFSHORE & MARINE ENGINEERING (GROUP) COMPANY LIMITED,130707200,22.06,2026-08-05
00321,TEXWINCA HOLDINGS LIMITED,646000,0.04,2026-08-05
00322,TINGYI (CAYMAN ISLANDS) HOLDING CORP.,420791758,7.45,2026-08-05
00323,MAANSHAN IRON & STEEL COMPANY LIMITED,336912000,19.43,2026-08-05
00325,BLOKS GROUP LIMITED,17806083,7.13,2026-08-05
00327,PAX GLOBAL TECHNOLOGY LIMITED,43061000,4.05,2026-08-05
00330,ESPRIT HOLDINGS LIMITED,532130,0.18,2026-08-05
00336,HUABAO INTERNATIONAL HOLDINGS LIMITED,649039100,20.09,2026-08-05
00337,GREENLAND HONG KONG HOLDINGS LIMITED,56928000,2.03,2026-08-05
00338,SINOPEC SHANGHAI PETROCHEMICAL COMPANY LIMITED,1036038000,32.23,2026-08-05
00341,CAFE DE CORAL HOLDINGS LTD,20586000,3.54,2026-08-05
00345,VITASOY INTERNATIONAL HOLDINGS LTD,31658000,3.1,2026-08-05
00347,ANGANG STEEL COMPANY LIMITED,177348400,12.56,2026-08-05
00354,CHINASOFT INTERNATIONAL LIMITED,1010117921,36.97,2026-08-05
00358,JIANGXI COPPER COMPANY LIMITED,247733811,17.85,2026-08-05
00363,SHANGHAI INDUSTRIAL HOLDINGS LIMITED,84240701,7.74,2026-08-05
00371,BEIJING ENTERPRISES WATER GROUP LIMITED,2016273437,20.06,2026-08-05
00384,CHINA GAS HOLDINGS LIMITED,1062723825,19.5,2026-08-05
00386,CHINA PETROLEUM & CHEMICAL CORPORATION,6690344194,28.12,2026-08-05
00388,HONG KONG EXCHANGES AND CLEARING LIMITED -HKD TRADED SHARES,46367016,3.65,2026-08-05
00390,CHINA RAILWAY GROUP LIMITED,1460868439,34.72,2026-08-05
00392,BEIJING ENTERPRISES HOLDINGS LIMITED,288256510,22.9,2026-08-05
00400,"INGDAN, INC.",13329000,0.8,2026-08-05
00405,YUEXIU REAL ESTATE INVESTMENT TRUST,151979,0.0,2026-08-05
00410,SOHO CHINA LIMITED,697948510,13.41,2026-08-05
00412,SHANDONG HI-SPEED HOLDINGS GROUP LIMITED,739673500,12.28,2026-08-05
00419,HONY MEDIA GROUP,9623000,0.54,2026-08-05
00425,MINTH GROUP LIMITED,200523792,16.93,2026-08-05
00432,PACIFIC CENTURY PREMIUM DEVELOPMENTS LIMITED,42738,0.0,2026-08-05
00439,GENESIS SCALE HOLDINGS LIMITED,16202200,2.63,2026-08-05
00440,DAH SING FINANCIAL HOLDINGS LTD,3641200,1.13,2026-08-05
00451,DYNASTY DIGITAL HOLDINGS LIMITED,16704585,0.93,2026-08-05
00460,SIHUAN PHARMACEUTICAL HOLDINGS GROUP LTD.,1304085107,13.97,2026-08-05
00467,UNITED ENERGY GROUP LIMITED,1275902000,4.89,2026-08-05
00468,GREATVIEW ASEPTIC PACKAGING COMPANY LIMITED,88000,0.0,2026-08-05
00470,"WUXI LEAD INTELLIGENT EQUIPMENT CO., LTD.",11444400,10.58,2026-08-05
00480,HKR INTERNATIONAL LTD,28800,0.0,2026-08-05
00488,LAI SUN DEVELOPMENT COMPANY LIMITED,450,0.0,2026-08-05
00493,GOME RETAIL HOLDINGS LIMITED,21021140000,27.5,2026-08-05
00496,KASEN INTERNATIONAL HOLDINGS LIMITED,40753000,2.21,2026-08-05
00501,"OMNIVISION INTEGRATED CIRCUITS GROUP, INC.",4790500,9.43,2026-08-05
00506,CHINA FOODS LIMITED,144740168,5.17,2026-08-05
00508,DINGYI GROUP INVESTMENT LIMITED,32134000,3.71,2026-08-05
00511,TELEVISION BROADCASTS LIMITED,128500,0.02,2026-08-05
00512,GRAND PHARMACEUTICAL GROUP LIMITED,690947142,19.45,2026-08-05
00517,"COSCO SHIPPING INTERNATIONAL (HONG KONG) CO., LTD.",38000,0.0,2026-08-05
00520,"XIABUXIABU CATERING MANAGEMENT (CHINA) HOLDINGS CO., LTD.",112579000,10.35,2026-08-05
00522,ASMPT LIMITED,54963620,13.1,2026-08-05
00525,GUANGSHEN RAILWAY COMPANY LIMITED,506706720,35.39,2026-08-05
00535,GEMDALE PROPERTIES AND INVESTMENT CORPORATION LIMITED,2110094000,12.69,2026-08-05
00537,"RIGOL TECHNOLOGIES CO., LTD.",5057400,20.38,2026-08-05
00546,FUFENG GROUP LIMITED,269704284,10.75,2026-08-05
00547,DIGITAL DOMAIN HOLDINGS LIMITED,62149000,0.77,2026-08-05
00548,SHENZHEN EXPRESSWAY CORPORATION LIMITED,382699588,51.19,2026-08-05
00551,YUE YUEN INDUSTRIAL (HOLDINGS) LIMITED,110632740,6.88,2026-08-05
00552,CHINA COMMUNICATIONS SERVICES CORPORATION LIMITED,784056870,32.78,2026-08-05
00553,NANJING PANDA ELECTRONICS COMPANY LIMITED,98130000,40.54,2026-08-05
00558,L.K. TECHNOLOGY HOLDINGS LIMITED,119095000,8.72,2026-08-05
00563,SHANGHAI INDUSTRIAL URBAN DEVELOPMENT GROUP LIMITED,56745010,1.18,2026-08-05
00564,ZCZL INDUSTRIAL TECHNOLOGY GROUP COMPANY LIMITED,121821158,50.08,2026-08-05
00568,SHANDONG MOLONG PETROLEUM MACHINERY COMPANY LIMITED,171582400,60.87,2026-08-05
00570,CHINA TRADITIONAL CHINESE MEDICINE HOLDINGS CO LIMITED,1557922270,30.93,2026-08-05
00576,"ZHEJIANG EXPRESSWAY CO., LTD.",1116668401,55.18,2026-08-05
00579,"BEIJING JINGNENG CLEAN ENERGY CO., LIMITED",132566000,4.68,2026-08-05
00581,CHINA ORIENTAL GROUP COMPANY LIMITED,365440000,9.81,2026-08-05
00582,SHIN HWA WORLD LIMITED,10860120,0.28,2026-08-05
00586,CHINA CONCH VENTURE HOLDINGS LIMITED,888042573,49.55,2026-08-05
00587,CHINA CONCH ENVIRONMENT PROTECTION HOLDINGS LIMITED,306561500,16.77,2026-08-05
00588,BEIJING NORTH STAR COMPANY LIMITED,306680000,43.37,2026-08-05
00590,LUK FOOK HOLDINGS (INTERNATIONAL) LIMITED,40078832,6.81,2026-08-05
00598,SINOTRANS LIMITED,977803789,48.49,2026-08-05
00604,SHENZHEN INVESTMENT LIMITED,325411843,3.64,2026-08-05
00607,FULLSHARE HOLDINGS LIMITED,33783500,4.76,2026-08-05
00612,CARMEN CENTURY INVESTMENT LIMITED,888000,0.05,2026-08-05
00631,SANY HEAVY EQUIPMENT INTERNATIONAL HOLDINGS COMPANY LIMITED,135238475,4.1,2026-08-05
00636,KLN LOGISTICS GROUP LIMITED,41004002,2.26,2026-08-05
00638,FIBOCOM WIRELESS INC.,41813400,30.95,2026-08-05
00639,SHOUGANG FUSHAN RESOURCES GROUP LIMITED,671442948,13.18,2026-08-05
00650,PRODUCTIVE TECHNOLOGIES COMPANY LIMITED,197272000,2.65,2026-08-05
00656,FOSUN INTERNATIONAL LIMITED,1208713718,14.85,2026-08-05
00658,"CHINA HIGH SPEED TRANSMISSION EQUIPMENT GROUP CO., LTD.",91897000,5.61,2026-08-05
00659,CTF SERVICES LIMITED,14275147,0.31,2026-08-05
00666,"REPT BATTERO ENERGY CO., LTD.",105984025,11.33,2026-08-05
00667,CHINA EAST EDUCATION HOLDINGS LIMITED,251211939,11.31,2026-08-05
00668,"ANKER INNOVATIONS TECHNOLOGY CO., LTD.",1069900,2.13,2026-08-05
00669,TECHTRONIC INDUSTRIES CO. LTD.,12486107,0.67,2026-08-05
00670,CHINA EASTERN AIRLINES CORPORATION LIMITED,484889891,9.57,2026-08-05
00683,KERRY PROPERTIES LIMITED,56899833,3.91,2026-08-05
00686,"BEIJING ENERGY INTERNATIONAL HOLDING CO., LTD",14021800,0.62,2026-08-05
00687,TYSAN HOLDINGS LIMITED,4058000,0.12,2026-08-05
00688,CHINA OVERSEAS LAND & INVESTMENT LIMITED,944594477,8.62,2026-08-05
00691,CHINA SHANSHUI CEMENT GROUP LIMITED,2924000,0.06,2026-08-05
00694,BEIJING CAPITAL INTERNATIONAL AIRPORT COMPANY LIMITED,347846000,18.5,2026-08-05
00696,TRAVELSKY TECHNOLOGY LIMITED,266948825,28.61,2026-08-05
00697,SHOUCHENG HOLDINGS LIMITED,1675977892,19.95,2026-08-05
00698,TONGDA GROUP HOLDINGS LIMITED,980900,0.5,2026-08-05
00699,NINGBO JOYSON ELECTRONIC CORP.,40580660,26.15,2026-08-05
00700,TENCENT HOLDINGS LIMITED -HKD TRADED SHARES,1067422547,11.73,2026-08-05
00709,GIORDANO INTERNATIONAL LIMITED,90000,0.0,2026-08-05
00710,BOE VARITRONIX LIMITED,48845000,6.16,2026-08-05
00718,TAI UNITED HOLDINGS LIMITED,17640000,0.33,2026-08-05
00719,SHANDONG XINHUA PHARMACEUTICAL COMPANY LIMITED,74200100,38.04,2026-08-05
00721,CHINA FINANCIAL INTERNATIONAL INVESTMENTS LIMITED,12036000,0.54,2026-08-05
00728,CHINA TELECOM CORPORATION LIMITED,9801518376,70.62,2026-08-05
00732,TRULY INTERNATIONAL HOLDINGS LIMITED,134276000,4.56,2026-08-05
00737,SZ INVESTMENT HLDGS BAY AREA DEV CO LTD -HKD TRADED SHARES,560000,0.01,2026-08-05
00743,ASIA CEMENT (CHINA) HOLDINGS CORPORATION,55306000,3.52,2026-08-05
00751,SKYWORTH GROUP LIMITED,57357324,3.02,2026-08-05
00753,AIR CHINA LIMITED,705812625,14.23,2026-08-05
00754,HOPSON DEVELOPMENT HOLDINGS LIMITED,235182588,6.19,2026-08-05
00762,CHINA UNICOM (HONG KONG) LIMITED,3807626834,12.44,2026-08-05
00763,ZTE CORPORATION,388238202,51.38,2026-08-05
00772,CHINA LITERATURE LIMITED,192217435,19.01,2026-08-05
00775,"CK LIFE SCIENCES INT'L., (HOLDINGS) INC.",54830200,0.56,2026-08-05
00777,NETDRAGON WEBSOFT HOLDINGS LIMITED,31637000,5.95,2026-08-05
00780,TONGCHENG TRAVEL HOLDINGS LIMITED,224291336,9.51,2026-08-05
00788,CHINA TOWER CORPORATION LIMITED,1003959214,21.51,2026-08-05
00799,IGG INC,47796100,4.06,2026-08-05
00800,WERIDE INC.,4212600,0.4,2026-08-05
00806,VALUE PARTNERS GROUP LIMITED,81505000,4.45,2026-08-05
00811,"XINHUA WINSHARE PUBLISHING AND MEDIA CO., LTD.",253623014,57.38,2026-08-05
00813,SHIMAO GROUP HOLDINGS LIMITED,72465704,0.68,2026-08-05
00816,"JINMAO PROPERTY SERVICES CO., LIMITED",3646784,0.39,2026-08-05
00817,CHINA JINMAO HOLDINGS GROUP LIMITED,2676268496,19.8,2026-08-05
00819,TIANNENG POWER INTERNATIONAL LIMITED,255590272,22.69,2026-08-05
00826,TIANGONG INTERNATIONAL COMPANY LIMITED,569768174,20.9,2026-08-05
00829,SHENGUAN HOLDINGS (GROUP) LIMITED,91338000,2.82,2026-08-05
