code,name,shareholding,pct,date
00001,CK HUTCHISON HOLDINGS LIMITED,127207073,3.31,2025-09-22
00002,CLP HOLDINGS LIMITED,41568697,1.63,2025-09-22
00003,"HONG KONG AND CHINA GAS COMPANY LIMITED, THE",504712824,2.7,2025-09-22
00004,"WHARF (HOLDINGS) LIMITED, THE",5480950,0.17,2025-09-22
00005,HSBC HOLDINGS PLC,1558512369,9.0,2025-09-22
00006,POWER ASSETS HOLDINGS LIMITED,154111185,7.22,2025-09-22
00008,PCCW LIMITED,219240096,2.82,2025-09-22
00010,HANG LUNG GROUP LIMITED,22970000,1.67,2025-09-22
00011,HANG SENG BANK LTD -HKD TRADED SHARES,11607785,0.61,2025-09-22
00012,HENDERSON LAND DEVELOPMENT CO LTD,63827376,1.3,2025-09-22
00013,HUTCHMED (CHINA) LIMITED,245491289,28.14,2025-09-22
00014,HYSAN DEVELOPMENT COMPANY LIMITED,28926020,2.8,2025-09-22
00016,SUN HUNG KAI PROPERTIES LIMITED -HKD TRADED SHARES,59046484,2.02,2025-09-22
00017,NEW WORLD DEVELOPMENT CO LTD,144995201,5.76,2025-09-22
00019,SWIRE PACIFIC LTD 'A',10306289,1.32,2025-09-22
00020,SENSETIME GROUP INC. -HKD TRADED SHARES,9437528266,24.4,2025-09-22
00023,BANK OF EAST ASIA LTD,646740,0.01,2025-09-22
00027,GALAXY ENTERTAINMENT GROUP LIMITED,63963197,1.45,2025-09-22
00035,FAR EAST CONSORTIUM INTERNATIONAL LTD,426843,0.01,2025-09-22
00038,FIRST TRACTOR COMPANY LIMITED,205795377,52.5,2025-09-22
00041,GREAT EAGLE HOLDINGS LIMITED,20218608,2.7,2025-09-22
00042,NORTHEAST ELECTRIC DEVELOPMENT COMPANY LIMITED,6422000,2.48,2025-09-22
00045,"HONGKONG AND SHANGHAI HOTELS LTD,THE",17520,0.0,2025-09-22
00059,SKYFAME REALTY (HOLDINGS) LIMITED,1823710000,21.59,2025-09-22
00066,MTR CORPORATION LIMITED,18177334,0.28,2025-09-22
00069,SHANGRI-LA ASIA LIMITED,10966000,0.3,2025-09-22
00081,CHINA OVERSEAS GRAND OCEANS GROUP LIMITED,495916807,13.92,2025-09-22
00083,SINO LAND CO.LTD.,120361496,1.3,2025-09-22
00086,SUN HUNG KAI & CO.LTD,23387000,1.18,2025-09-22
00087,SWIRE PACIFIC LTD 'B',55717500,1.95,2025-09-22
00095,LVGEM (CHINA) REAL ESTATE INVESTMENT COMPANY LIMITED,701784000,11.58,2025-09-22
00101,HANG LUNG PROPERTIES LIMITED,388783366,7.76,2025-09-22
00107,SICHUAN EXPRESSWAY COMPANY LIMITED,410273207,45.81,2025-09-22
00116,CHOW SANG SANG HOLDINGS INTERNATIONAL LIMITED,7701000,1.14,2025-09-22
00119,"POLY PROPERTY GROUP CO., LIMITED",898661443,23.51,2025-09-22
00120,COSMOPOLITAN INTERNATIONAL HOLDINGS LTD,63278200,4.71,2025-09-22
00123,YUEXIU PROPERTY COMPANY LIMITED,543264101,13.49,2025-09-22
00124,GUANGDONG LAND HOLDINGS LIMITED,13149602,0.75,2025-09-22
00127,CHINESE ESTATES HOLDINGS LIMITED,899500,0.03,2025-09-22
00135,KUNLUN ENERGY COMPANY LIMITED,1416350305,16.35,2025-09-22
00136,CHINA RUYI HOLDINGS LIMITED,3516702550,21.43,2025-09-22
00142,FIRST PACIFIC CO. LTD.,109923000,2.57,2025-09-22
00144,CHINA MERCHANTS PORT HOLDINGS COMPANY LIMITED,327492868,7.79,2025-09-22
00148,KINGBOARD HOLDINGS LIMITED,46363000,4.17,2025-09-22
00151,WANT WANT CHINA HOLDINGS LIMITED,173625869,1.46,2025-09-22
00152,SHENZHEN INTERNATIONAL HOLDINGS LIMITED,449945376,18.4,2025-09-22
00163,EMPEROR INTERNATIONAL HOLDINGS LIMITED,5388000,0.09,2025-09-22
00165,CHINA EVERBRIGHT LIMITED,423738403,25.13,2025-09-22
00168,TSINGTAO BREWERY COMPANY LIMITED,260357086,39.73,2025-09-22
00173,K. WAH INTERNATIONAL HOLDINGS LIMITED,98902629,3.13,2025-09-22
00175,GEELY AUTOMOBILE HOLDINGS LIMITED -HKD TRADED SHARES,1183560108,11.69,2025-09-22
