code,name,shareholding,pct,date
00001,CK HUTCHISON HOLDINGS LIMITED,80669090,2.09,2026-06-23
00002,CLP HOLDINGS LIMITED,50280678,1.98,2026-06-23
00003,"HONG KONG AND CHINA GAS COMPANY LIMITED, THE",552280280,2.95,2026-06-23
00004,"WHARF (HOLDINGS) LIMITED, THE",4753950,0.14,2026-06-23
00005,HSBC HOLDINGS PLC,1531953268,8.91,2026-06-23
00006,POWER ASSETS HOLDINGS LIMITED,177388805,8.31,2026-06-23
00008,PCCW LIMITED,239610096,3.08,2026-06-23
00010,HANG LUNG GROUP LIMITED,20989000,1.53,2026-06-23
00012,HENDERSON LAND DEVELOPMENT CO LTD,63490054,1.3,2026-06-23
00013,HUTCHMED (CHINA) LIMITED,234078255,26.83,2026-06-23
00014,HYSAN DEVELOPMENT COMPANY LIMITED,26225325,2.54,2026-06-23
00016,SUN HUNG KAI PROPERTIES LIMITED -HKD TRADED SHARES,66543232,2.29,2026-06-23
00017,NEW WORLD DEVELOPMENT CO LTD,112556769,4.46,2026-06-23
00019,SWIRE PACIFIC LTD 'A',10086000,1.28,2026-06-23
00020,SENSETIME GROUP INC. -HKD TRADED SHARES,10132329286,24.0,2026-06-23
00023,BANK OF EAST ASIA LTD,2326030,0.08,2026-06-23
00027,GALAXY ENTERTAINMENT GROUP LIMITED,45464538,1.03,2026-06-23
00035,FAR EAST CONSORTIUM INTERNATIONAL LTD,426843,0.01,2026-06-23
00038,FIRST TRACTOR COMPANY LIMITED,215427019,54.95,2026-06-23
00041,GREAT EAGLE HOLDINGS LIMITED,17629162,2.34,2026-06-23
00042,NORTHEAST ELECTRIC DEVELOPMENT COMPANY LIMITED,6064000,2.35,2026-06-23
00045,"HONGKONG AND SHANGHAI HOTELS LTD,THE",17520,0.0,2026-06-23
00059,SKYFAME REALTY (HOLDINGS) LIMITED,1823710000,21.59,2026-06-23
00066,MTR CORPORATION LIMITED,128408546,2.06,2026-06-23
00069,SHANGRI-LA ASIA LIMITED,10790000,0.29,2026-06-23
