code,name,shareholding,pct,date
00001,CK HUTCHISON HOLDINGS LIMITED,92908749,2.42,2026-03-10
00002,CLP HOLDINGS LIMITED,47275178,1.87,2026-03-10
00003,"HONG KONG AND CHINA GAS COMPANY LIMITED, THE",582818650,3.11,2026-03-10
00004,"WHARF (HOLDINGS) LIMITED, THE",4871950,0.15,2026-03-10
00005,HSBC HOLDINGS PLC,1575987416,9.17,2026-03-10
00006,POWER ASSETS HOLDINGS LIMITED,215601870,10.11,2026-03-10
00008,PCCW LIMITED,255348096,3.29,2026-03-10
00010,HANG LUNG GROUP LIMITED,21925000,1.6,2026-03-10
00012,HENDERSON LAND DEVELOPMENT CO LTD,82265663,1.69,2026-03-10
00013,HUTCHMED (CHINA) LIMITED,228505257,26.19,2026-03-10
00014,HYSAN DEVELOPMENT COMPANY LIMITED,28944725,2.8,2026-03-10
00016,SUN HUNG KAI PROPERTIES LIMITED -HKD TRADED SHARES,71233962,2.45,2026-03-10
00017,NEW WORLD DEVELOPMENT CO LTD,121066269,4.81,2026-03-10
00019,SWIRE PACIFIC LTD 'A',10737000,1.36,2026-03-10
00020,SENSETIME GROUP INC. -HKD TRADED SHARES,10925870286,27.02,2026-03-10
00023,BANK OF EAST ASIA LTD,514119,0.01,2026-03-10
00027,GALAXY ENTERTAINMENT GROUP LIMITED,74041199,1.68,2026-03-10
00035,FAR EAST CONSORTIUM INTERNATIONAL LTD,426843,0.01,2026-03-10
00038,FIRST TRACTOR COMPANY LIMITED,196917366,50.24,2026-03-10
00041,GREAT EAGLE HOLDINGS LIMITED,19800162,2.64,2026-03-10
00042,NORTHEAST ELECTRIC DEVELOPMENT COMPANY LIMITED,6066000,2.35,2026-03-10
00045,"HONGKONG AND SHANGHAI HOTELS LTD,THE",17520,0.0,2026-03-10
00059,SKYFAME REALTY (HOLDINGS) LIMITED,1823710000,21.59,2026-03-10
00066,MTR CORPORATION LIMITED,139253546,2.23,2026-03-10
00069,SHANGRI-LA ASIA LIMITED,10824000,0.29,2026-03-10
00081,CHINA OVERSEAS GRAND OCEANS GROUP LIMITED,537753775,15.09,2026-03-10
00083,SINO LAND CO.LTD.,117331508,1.22,2026-03-10
00086,SUN HUNG KAI & CO.LTD,23236000,1.18,2026-03-10
00087,SWIRE PACIFIC LTD 'B',61172500,2.14,2026-03-10
00095,LVGEM (CHINA) REAL ESTATE INVESTMENT COMPANY LIMITED,592776000,9.31,2026-03-10
00101,HANG LUNG PROPERTIES LIMITED,310164908,6.12,2026-03-10
00107,SICHUAN EXPRESSWAY COMPANY LIMITED,415942207,46.45,2026-03-10
00116,CHOW SANG SANG HOLDINGS INTERNATIONAL LIMITED,7455000,1.1,2026-03-10
00119,"POLY PROPERTY GROUP CO., LIMITED",998765301,26.12,2026-03-10
00120,COSMOPOLITAN INTERNATIONAL HOLDINGS LTD,56229600,3.42,2026-03-10
00123,YUEXIU PROPERTY COMPANY LIMITED,534169797,13.26,2026-03-10
00124,GUANGDONG LAND HOLDINGS LIMITED,12640896,0.72,2026-03-10
00127,CHINESE ESTATES HOLDINGS LIMITED,899500,0.03,2026-03-10
00135,KUNLUN ENERGY COMPANY LIMITED,1198312265,13.83,2026-03-10
00136,CHINA RUYI HOLDINGS LIMITED,4113716470,24.48,2026-03-10
00142,FIRST PACIFIC CO. LTD.,117140999,2.74,2026-03-10
00144,CHINA MERCHANTS PORT HOLDINGS COMPANY LIMITED,338994580,8.07,2026-03-10
00148,KINGBOARD HOLDINGS LIMITED,67422606,6.08,2026-03-10
00151,WANT WANT CHINA HOLDINGS LIMITED,194310869,1.64,2026-03-10
00152,SHENZHEN INTERNATIONAL HOLDINGS LIMITED,480838246,19.66,2026-03-10
00163,EMPEROR INTERNATIONAL HOLDINGS LIMITED,5268000,0.09,2026-03-10
00165,CHINA EVERBRIGHT LIMITED,450338403,26.71,2026-03-10
00168,TSINGTAO BREWERY COMPANY LIMITED,302866412,46.22,2026-03-10
00173,K. WAH INTERNATIONAL HOLDINGS LIMITED,131161629,4.15,2026-03-10
00175,GEELY AUTOMOBILE HOLDINGS LIMITED -HKD TRADED SHARES,1267077677,11.69,2026-03-10
00177,JIANGSU EXPRESSWAY COMPANY LIMITED,669582576,54.78,2026-03-10
00178,SA SA INTERNATIONAL HOLDINGS LIMITED,1815183,0.05,2026-03-10
00179,JOHNSON ELECTRIC HOLDINGS LIMITED,104985168,11.23,2026-03-10
00185,ZENSUN ENTERPRISES LIMITED,19277000,0.99,2026-03-10
00187,BEIJING JINGCHENG MACHINERY ELECTRIC COMPANY LIMITED,60352000,60.34,2026-03-10
00189,DONGYUE GROUP LIMITED,569553727,32.86,2026-03-10
00200,MELCO INTERNATIONAL DEVELOPMENT LIMITED,150122800,6.59,2026-03-10
