code,name,shareholding,pct,date
00001,CK HUTCHISON HOLDINGS LIMITED,120778889,3.15,2025-11-21
00002,CLP HOLDINGS LIMITED,44193178,1.74,2025-11-21
00003,"HONG KONG AND CHINA GAS COMPANY LIMITED, THE",666025750,3.56,2025-11-21
00004,"WHARF (HOLDINGS) LIMITED, THE",5261950,0.16,2025-11-21
00005,HSBC HOLDINGS PLC,1559317214,9.07,2025-11-21
00006,POWER ASSETS HOLDINGS LIMITED,148436185,6.95,2025-11-21
00008,PCCW LIMITED,263153096,3.39,2025-11-21
00010,HANG LUNG GROUP LIMITED,22804000,1.67,2025-11-21
00011,HANG SENG BANK LTD -HKD TRADED SHARES,11121985,0.58,2025-11-21
00012,HENDERSON LAND DEVELOPMENT CO LTD,74513976,1.53,2025-11-21
00013,HUTCHMED (CHINA) LIMITED,244070751,27.98,2025-11-21
00014,HYSAN DEVELOPMENT COMPANY LIMITED,32966020,3.2,2025-11-21
00016,SUN HUNG KAI PROPERTIES LIMITED -HKD TRADED SHARES,74585984,2.56,2025-11-21
00017,NEW WORLD DEVELOPMENT CO LTD,131656201,5.22,2025-11-21
00019,SWIRE PACIFIC LTD 'A',12925289,1.65,2025-11-21
00020,SENSETIME GROUP INC. -HKD TRADED SHARES,10120634266,26.16,2025-11-21
00023,BANK OF EAST ASIA LTD,596324,0.01,2025-11-21
00027,GALAXY ENTERTAINMENT GROUP LIMITED,77269273,1.75,2025-11-21
00035,FAR EAST CONSORTIUM INTERNATIONAL LTD,426843,0.01,2025-11-21
00038,FIRST TRACTOR COMPANY LIMITED,208187979,53.11,2025-11-21
00041,GREAT EAGLE HOLDINGS LIMITED,19625608,2.62,2025-11-21
00042,NORTHEAST ELECTRIC DEVELOPMENT COMPANY LIMITED,6374000,2.47,2025-11-21
00045,"HONGKONG AND SHANGHAI HOTELS LTD,THE",17520,0.0,2025-11-21
00059,SKYFAME REALTY (HOLDINGS) LIMITED,1823710000,21.59,2025-11-21
00066,MTR CORPORATION LIMITED,74775296,1.19,2025-11-21
00069,SHANGRI-LA ASIA LIMITED,10940000,0.29,2025-11-21
00081,CHINA OVERSEAS GRAND OCEANS GROUP LIMITED,532271807,14.94,2025-11-21
00083,SINO LAND CO.LTD.,134941429,1.46,2025-11-21
00086,SUN HUNG KAI & CO.LTD,23387000,1.18,2025-11-21
00087,SWIRE PACIFIC LTD 'B',63260000,2.22,2025-11-21
00095,LVGEM (CHINA) REAL ESTATE INVESTMENT COMPANY LIMITED,612670000,9.62,2025-11-21
00101,HANG LUNG PROPERTIES LIMITED,400257163,7.91,2025-11-21
00107,SICHUAN EXPRESSWAY COMPANY LIMITED,400857207,44.76,2025-11-21
00116,CHOW SANG SANG HOLDINGS INTERNATIONAL LIMITED,7571000,1.12,2025-11-21
00119,"POLY PROPERTY GROUP CO., LIMITED",1034102448,27.05,2025-11-21
00120,COSMOPOLITAN INTERNATIONAL HOLDINGS LTD,61280200,4.57,2025-11-21
00123,YUEXIU PROPERTY COMPANY LIMITED,556842301,13.82,2025-11-21
00124,GUANGDONG LAND HOLDINGS LIMITED,12953276,0.75,2025-11-21
00127,CHINESE ESTATES HOLDINGS LIMITED,899500,0.03,2025-11-21
00135,KUNLUN ENERGY COMPANY LIMITED,1444762305,16.67,2025-11-21
00136,CHINA RUYI HOLDINGS LIMITED,3827567629,23.33,2025-11-21
