code,name,shareholding,pct,date
00001,CK HUTCHISON HOLDINGS LIMITED,70213871,1.82,2026-08-28
00002,CLP HOLDINGS LIMITED,49775178,1.96,2026-08-28
00003,"HONG KONG AND CHINA GAS COMPANY LIMITED, THE",264994978,1.41,2026-08-28
00004,"WHARF (HOLDINGS) LIMITED, THE",4716950,0.14,2026-08-28
00005,HSBC HOLDINGS PLC,1533318922,8.92,2026-08-28
00006,POWER ASSETS HOLDINGS LIMITED,176604419,8.28,2026-08-28
00008,PCCW LIMITED,222744096,2.86,2026-08-28
00010,HANG LUNG GROUP LIMITED,21777000,1.59,2026-08-28
00012,HENDERSON LAND DEVELOPMENT CO LTD,58053615,1.19,2026-08-28
00013,HUTCHMED (CHINA) LIMITED,234794255,26.9,2026-08-28
00014,HYSAN DEVELOPMENT COMPANY LIMITED,26166325,2.54,2026-08-28
00016,SUN HUNG KAI PROPERTIES LIMITED -HKD TRADED SHARES,63407320,2.18,2026-08-28
00017,NEW WORLD DEVELOPMENT CO LTD,116792519,4.63,2026-08-28
00019,SWIRE PACIFIC LTD 'A',8055000,1.03,2026-08-28
00020,SENSETIME GROUP INC. -HKD TRADED SHARES,10176717266,24.1,2026-08-28
00023,BANK OF EAST ASIA LTD,6199230,0.23,2026-08-28
00027,GALAXY ENTERTAINMENT GROUP LIMITED,38047848,0.86,2026-08-28
00035,FAR EAST CONSORTIUM INTERNATIONAL LTD,426843,0.01,2026-08-28
00038,FIRST TRACTOR COMPANY LIMITED,196553297,50.14,2026-08-28
00041,GREAT EAGLE HOLDINGS LIMITED,17464162,2.32,2026-08-28
00042,NORTHEAST ELECTRIC DEVELOPMENT COMPANY LIMITED,6052000,2.34,2026-08-28
00045,"HONGKONG AND SHANGHAI HOTELS LTD,THE",17520,0.0,2026-08-28
00059,SKYFAME REALTY (HOLDINGS) LIMITED,1823710000,21.59,2026-08-28
00066,MTR CORPORATION LIMITED,128406563,2.06,2026-08-28
00069,SHANGRI-LA ASIA LIMITED,10680000,0.29,2026-08-28
00081,CHINA OVERSEAS GRAND OCEANS GROUP LIMITED,654675851,18.38,2026-08-28
00083,SINO LAND CO.LTD.,102077106,1.05,2026-08-28
00086,SUN HUNG KAI & CO.LTD,22666000,1.15,2026-08-28
00087,SWIRE PACIFIC LTD 'B',49256276,1.72,2026-08-28
00095,LVGEM (CHINA) REAL ESTATE INVESTMENT COMPANY LIMITED,538382000,8.45,2026-08-28
00100,MINIMAX GROUP INC.,31519700,9.02,2026-08-28
00101,HANG LUNG PROPERTIES LIMITED,303813498,5.83,2026-08-28
00107,SICHUAN EXPRESSWAY COMPANY LIMITED,446573807,49.87,2026-08-28
00116,CHOW SANG SANG HOLDINGS INTERNATIONAL LIMITED,6953000,1.03,2026-08-28
00119,"POLY PROPERTY GROUP CO., LIMITED",883965052,23.12,2026-08-28
00120,COSMOPOLITAN INTERNATIONAL HOLDINGS LTD,52890600,3.22,2026-08-28
00123,YUEXIU PROPERTY COMPANY LIMITED,580761657,14.42,2026-08-28
00124,GUANGDONG LAND HOLDINGS LIMITED,12098322,0.7,2026-08-28
00127,CHINESE ESTATES HOLDINGS LIMITED,891500,0.03,2026-08-28
00135,KUNLUN ENERGY COMPANY LIMITED,1276224228,14.77,2026-08-28
00136,CHINA RUYI HOLDINGS LIMITED,4016856225,23.9,2026-08-28
00142,FIRST PACIFIC CO. LTD.,103883000,2.43,2026-08-28
00144,CHINA MERCHANTS PORT HOLDINGS COMPANY LIMITED,318729767,7.59,2026-08-28
00148,KINGBOARD HOLDINGS LIMITED,266104982,23.71,2026-08-28
00151,WANT WANT CHINA HOLDINGS LIMITED,170007201,1.43,2026-08-28
