code,name,shareholding,pct,date
00001,CK HUTCHISON HOLDINGS LIMITED,68547371,1.78,2026-09-07
00002,CLP HOLDINGS LIMITED,49571178,1.95,2026-09-07
00003,"HONG KONG AND CHINA GAS COMPANY LIMITED, THE",233370928,1.24,2026-09-07
00004,"WHARF (HOLDINGS) LIMITED, THE",4684950,0.14,2026-09-07
00005,HSBC HOLDINGS PLC,1533014253,8.93,2026-09-07
00006,POWER ASSETS HOLDINGS LIMITED,176108919,8.25,2026-09-07
00008,PCCW LIMITED,221489096,2.85,2026-09-07
00010,HANG LUNG GROUP LIMITED,22453000,1.64,2026-09-07
00012,HENDERSON LAND DEVELOPMENT CO LTD,51772615,1.06,2026-09-07
00013,HUTCHMED (CHINA) LIMITED,240848755,27.6,2026-09-07
00014,HYSAN DEVELOPMENT COMPANY LIMITED,25666325,2.49,2026-09-07
00016,SUN HUNG KAI PROPERTIES LIMITED -HKD TRADED SHARES,62562232,2.15,2026-09-07
00017,NEW WORLD DEVELOPMENT CO LTD,115411519,4.57,2026-09-07
00019,SWIRE PACIFIC LTD 'A',7949000,1.01,2026-09-07
00020,SENSETIME GROUP INC. -HKD TRADED SHARES,10236742266,24.24,2026-09-07
00023,BANK OF EAST ASIA LTD,16931630,0.63,2026-09-07
00027,GALAXY ENTERTAINMENT GROUP LIMITED,37471848,0.85,2026-09-07
00035,FAR EAST CONSORTIUM INTERNATIONAL LTD,426843,0.01,2026-09-07
00038,FIRST TRACTOR COMPANY LIMITED,183948777,46.93,2026-09-07
00041,GREAT EAGLE HOLDINGS LIMITED,15774089,2.09,2026-09-07
00042,NORTHEAST ELECTRIC DEVELOPMENT COMPANY LIMITED,6052000,2.34,2026-09-07
00045,"HONGKONG AND SHANGHAI HOTELS LTD,THE",17520,0.0,2026-09-07
00059,SKYFAME REALTY (HOLDINGS) LIMITED,1823710000,21.59,2026-09-07
00066,MTR CORPORATION LIMITED,128313563,2.05,2026-09-07
00069,SHANGRI-LA ASIA LIMITED,10680000,0.29,2026-09-07
00081,CHINA OVERSEAS GRAND OCEANS GROUP LIMITED,664990623,18.68,2026-09-07
00083,SINO LAND CO.LTD.,116749106,1.21,2026-09-07
00086,SUN HUNG KAI & CO.LTD,22573000,1.14,2026-09-07
00087,SWIRE PACIFIC LTD 'B',49493776,1.72,2026-09-07
00095,LVGEM (CHINA) REAL ESTATE INVESTMENT COMPANY LIMITED,538302000,8.45,2026-09-07
00100,MINIMAX GROUP INC.,37074654,10.61,2026-09-07
00101,HANG LUNG PROPERTIES LIMITED,307013498,5.89,2026-09-07
00107,SICHUAN EXPRESSWAY GROUP COMPANY LIMITED,446281807,49.84,2026-09-07
00116,CHOW SANG SANG HOLDINGS INTERNATIONAL LIMITED,6926000,1.03,2026-09-07
00119,"POLY PROPERTY GROUP CO., LIMITED",930627184,24.35,2026-09-07
00120,COSMOPOLITAN INTERNATIONAL HOLDINGS LTD,52890600,3.22,2026-09-07
00123,YUEXIU PROPERTY COMPANY LIMITED,608512301,15.1,2026-09-07
00124,GUANGDONG LAND HOLDINGS LIMITED,12098006,0.7,2026-09-07
00127,CHINESE ESTATES HOLDINGS LIMITED,891500,0.03,2026-09-07
00135,KUNLUN ENERGY COMPANY LIMITED,1271086228,14.71,2026-09-07
00136,CHINA RUYI HOLDINGS LIMITED,4164244225,24.78,2026-09-07
00142,FIRST PACIFIC CO. LTD.,104409000,2.44,2026-09-07
00144,CHINA MERCHANTS PORT HOLDINGS COMPANY LIMITED,319315767,7.6,2026-09-07
00148,KINGBOARD HOLDINGS LIMITED,274675982,24.48,2026-09-07
00151,WANT WANT CHINA HOLDINGS LIMITED,172824201,1.46,2026-09-07
00152,SHENZHEN INTERNATIONAL HOLDINGS LIMITED,512141385,20.88,2026-09-07
00163,EMPEROR INTERNATIONAL HOLDINGS LIMITED,5178000,0.09,2026-09-07
00165,CHINA EVERBRIGHT LIMITED,474862403,28.17,2026-09-07
00168,TSINGTAO BREWERY COMPANY LIMITED,328472646,50.14,2026-09-07
00173,K. WAH INTERNATIONAL HOLDINGS LIMITED,164955055,5.23,2026-09-07
