code,name,shareholding,pct,date
00001,CK HUTCHISON HOLDINGS LIMITED,91834590,2.38,2026-04-13
00002,CLP HOLDINGS LIMITED,46407178,1.82,2026-04-13
00003,"HONG KONG AND CHINA GAS COMPANY LIMITED, THE",571125332,3.05,2026-04-13
00004,"WHARF (HOLDINGS) LIMITED, THE",4995950,0.15,2026-04-13
00005,HSBC HOLDINGS PLC,1550934561,9.01,2026-04-13
00006,POWER ASSETS HOLDINGS LIMITED,214861057,10.07,2026-04-13
00008,PCCW LIMITED,254183096,3.27,2026-04-13
00010,HANG LUNG GROUP LIMITED,22002000,1.6,2026-04-13
00012,HENDERSON LAND DEVELOPMENT CO LTD,88064102,1.81,2026-04-13
00013,HUTCHMED (CHINA) LIMITED,243605683,27.91,2026-04-13
00014,HYSAN DEVELOPMENT COMPANY LIMITED,29089725,2.82,2026-04-13
00016,SUN HUNG KAI PROPERTIES LIMITED -HKD TRADED SHARES,72187843,2.48,2026-04-13
00017,NEW WORLD DEVELOPMENT CO LTD,113809269,4.51,2026-04-13
00019,SWIRE PACIFIC LTD 'A',10811000,1.38,2026-04-13
00020,SENSETIME GROUP INC. -HKD TRADED SHARES,11250063286,27.82,2026-04-13
00023,BANK OF EAST ASIA LTD,761030,0.02,2026-04-13
00027,GALAXY ENTERTAINMENT GROUP LIMITED,70426949,1.6,2026-04-13
00035,FAR EAST CONSORTIUM INTERNATIONAL LTD,426843,0.01,2026-04-13
00038,FIRST TRACTOR COMPANY LIMITED,202459366,51.64,2026-04-13
00041,GREAT EAGLE HOLDINGS LIMITED,19247162,2.56,2026-04-13
00042,NORTHEAST ELECTRIC DEVELOPMENT COMPANY LIMITED,6066000,2.35,2026-04-13
00045,"HONGKONG AND SHANGHAI HOTELS LTD,THE",17520,0.0,2026-04-13
00059,SKYFAME REALTY (HOLDINGS) LIMITED,1823710000,21.59,2026-04-13
00066,MTR CORPORATION LIMITED,137835046,2.2,2026-04-13
00069,SHANGRI-LA ASIA LIMITED,10804000,0.29,2026-04-13
00081,CHINA OVERSEAS GRAND OCEANS GROUP LIMITED,565076775,15.86,2026-04-13
00083,SINO LAND CO.LTD.,126869368,1.32,2026-04-13
00086,SUN HUNG KAI & CO.LTD,22978000,1.16,2026-04-13
00087,SWIRE PACIFIC LTD 'B',61255000,2.14,2026-04-13
00095,LVGEM (CHINA) REAL ESTATE INVESTMENT COMPANY LIMITED,587708000,9.22,2026-04-13
00101,HANG LUNG PROPERTIES LIMITED,297695888,5.87,2026-04-13
00107,SICHUAN EXPRESSWAY COMPANY LIMITED,403108207,45.02,2026-04-13
00116,CHOW SANG SANG HOLDINGS INTERNATIONAL LIMITED,7402000,1.1,2026-04-13
00119,"POLY PROPERTY GROUP CO., LIMITED",951812454,24.9,2026-04-13
00120,COSMOPOLITAN INTERNATIONAL HOLDINGS LTD,55956600,3.4,2026-04-13
00123,YUEXIU PROPERTY COMPANY LIMITED,540514797,13.42,2026-04-13
00124,GUANGDONG LAND HOLDINGS LIMITED,12466158,0.71,2026-04-13
00127,CHINESE ESTATES HOLDINGS LIMITED,899500,0.03,2026-04-13
00135,KUNLUN ENERGY COMPANY LIMITED,1196966211,13.82,2026-04-13
00136,CHINA RUYI HOLDINGS LIMITED,4187730970,24.92,2026-04-13
00142,FIRST PACIFIC CO. LTD.,120782079,2.82,2026-04-13
00144,CHINA MERCHANTS PORT HOLDINGS COMPANY LIMITED,331322580,7.89,2026-04-13
00148,KINGBOARD HOLDINGS LIMITED,67843354,6.11,2026-04-13
00151,WANT WANT CHINA HOLDINGS LIMITED,205863201,1.73,2026-04-13
00152,SHENZHEN INTERNATIONAL HOLDINGS LIMITED,495127174,20.26,2026-04-13
00163,EMPEROR INTERNATIONAL HOLDINGS LIMITED,5268000,0.09,2026-04-13
00165,CHINA EVERBRIGHT LIMITED,438656403,26.02,2026-04-13
00168,TSINGTAO BREWERY COMPANY LIMITED,309763303,47.28,2026-04-13
00173,K. WAH INTERNATIONAL HOLDINGS LIMITED,135976629,4.3,2026-04-13
00175,GEELY AUTOMOBILE HOLDINGS LIMITED -HKD TRADED SHARES,1414444573,13.03,2026-04-13
00177,JIANGSU EXPRESSWAY COMPANY LIMITED,677556576,55.44,2026-04-13
00178,SA SA INTERNATIONAL HOLDINGS LIMITED,1807183,0.05,2026-04-13
00179,JOHNSON ELECTRIC HOLDINGS LIMITED,94960253,10.15,2026-04-13
00185,ZENSUN ENTERPRISES LIMITED,19228000,0.99,2026-04-13
00187,BEIJING JINGCHENG MACHINERY ELECTRIC COMPANY LIMITED,56344000,56.33,2026-04-13
00189,DONGYUE GROUP LIMITED,571007654,32.94,2026-04-13
00200,MELCO INTERNATIONAL DEVELOPMENT LIMITED,165293800,7.26,2026-04-13
00215,HUTCHISON TELECOMMUNICATIONS HONG KONG HOLDINGS LIMITED,3694000,0.07,2026-04-13
00220,UNI-PRESIDENT CHINA HOLDINGS LTD.,483966759,11.2,2026-04-13
00241,ALIBABA HEALTH INFORMATION TECHNOLOGY LIMITED,2058500664,12.71,2026-04-13
00242,SHUN TAK HOLDINGS LIMITED,102738000,3.39,2026-04-13
00245,CHINA VERED FINANCIAL HOLDING CORPORATION LIMITED,1069500,0.05,2026-04-13
00256,CITYCHAMP WATCH & JEWELLERY GROUP LIMITED,959918000,22.05,2026-04-13
00257,CHINA EVERBRIGHT ENVIRONMENT GROUP LIMITED,1834304376,29.85,2026-04-13
00267,CITIC LIMITED,1719903005,5.91,2026-04-13
00268,KINGDEE INTERNATIONAL SOFTWARE GROUP COMPANY LIMITED,1005439058,28.32,2026-04-13
00270,GUANGDONG INVESTMENT LIMITED,492172533,7.51,2026-04-13
