code,name,shareholding,pct,date
00001,CK HUTCHISON HOLDINGS LIMITED,108445205,2.82,2026-01-16
00002,CLP HOLDINGS LIMITED,50532178,1.99,2026-01-16
00003,"HONG KONG AND CHINA GAS COMPANY LIMITED, THE",599037750,3.2,2026-01-16
00004,"WHARF (HOLDINGS) LIMITED, THE",5008950,0.15,2026-01-16
00005,HSBC HOLDINGS PLC,1566508853,9.11,2026-01-16
00006,POWER ASSETS HOLDINGS LIMITED,197109949,9.24,2026-01-16
00008,PCCW LIMITED,232072096,2.98,2026-01-16
00010,HANG LUNG GROUP LIMITED,22332000,1.63,2026-01-16
00011,HANG SENG BANK LTD -HKD TRADED SHARES,5240809,0.27,2026-01-16
00012,HENDERSON LAND DEVELOPMENT CO LTD,85078759,1.75,2026-01-16
00013,HUTCHMED (CHINA) LIMITED,237264886,27.19,2026-01-16
00014,HYSAN DEVELOPMENT COMPANY LIMITED,32079325,3.11,2026-01-16
00016,SUN HUNG KAI PROPERTIES LIMITED -HKD TRADED SHARES,66674484,2.29,2026-01-16
00017,NEW WORLD DEVELOPMENT CO LTD,121152519,4.81,2026-01-16
00019,SWIRE PACIFIC LTD 'A',10289000,1.31,2026-01-16
00020,SENSETIME GROUP INC. -HKD TRADED SHARES,10765308286,26.62,2026-01-16
00023,BANK OF EAST ASIA LTD,586919,0.01,2026-01-16
00027,GALAXY ENTERTAINMENT GROUP LIMITED,85853755,1.95,2026-01-16
00035,FAR EAST CONSORTIUM INTERNATIONAL LTD,426843,0.01,2026-01-16
00038,FIRST TRACTOR COMPANY LIMITED,201335905,51.36,2026-01-16
00041,GREAT EAGLE HOLDINGS LIMITED,20749608,2.76,2026-01-16
00042,NORTHEAST ELECTRIC DEVELOPMENT COMPANY LIMITED,6344000,2.45,2026-01-16
00045,"HONGKONG AND SHANGHAI HOTELS LTD,THE",17520,0.0,2026-01-16
00059,SKYFAME REALTY (HOLDINGS) LIMITED,1823710000,21.59,2026-01-16
00066,MTR CORPORATION LIMITED,98235796,1.56,2026-01-16
00069,SHANGRI-LA ASIA LIMITED,10926000,0.29,2026-01-16
00081,CHINA OVERSEAS GRAND OCEANS GROUP LIMITED,515802243,14.48,2026-01-16
00083,SINO LAND CO.LTD.,137046317,1.43,2026-01-16
00086,SUN HUNG KAI & CO.LTD,23277000,1.18,2026-01-16
00087,SWIRE PACIFIC LTD 'B',65577500,2.29,2026-01-16
00095,LVGEM (CHINA) REAL ESTATE INVESTMENT COMPANY LIMITED,596742000,9.37,2026-01-16
00101,HANG LUNG PROPERTIES LIMITED,387210770,7.64,2026-01-16
00107,SICHUAN EXPRESSWAY COMPANY LIMITED,414771207,46.32,2026-01-16
00116,CHOW SANG SANG HOLDINGS INTERNATIONAL LIMITED,7509000,1.11,2026-01-16
00119,"POLY PROPERTY GROUP CO., LIMITED",1055206448,27.6,2026-01-16
00120,COSMOPOLITAN INTERNATIONAL HOLDINGS LTD,59249200,3.61,2026-01-16
00123,YUEXIU PROPERTY COMPANY LIMITED,504518497,12.53,2026-01-16
00124,GUANGDONG LAND HOLDINGS LIMITED,12811504,0.73,2026-01-16
00127,CHINESE ESTATES HOLDINGS LIMITED,899500,0.03,2026-01-16
00135,KUNLUN ENERGY COMPANY LIMITED,1409996283,16.27,2026-01-16
00136,CHINA RUYI HOLDINGS LIMITED,3956380432,23.54,2026-01-16
00142,FIRST PACIFIC CO. LTD.,119374879,2.79,2026-01-16
00144,CHINA MERCHANTS PORT HOLDINGS COMPANY LIMITED,331126707,7.87,2026-01-16
00148,KINGBOARD HOLDINGS LIMITED,52399000,4.72,2026-01-16
