code,name,shareholding,pct,date
00001,CK HUTCHISON HOLDINGS LIMITED,120724573,3.14,2025-11-11
00002,CLP HOLDINGS LIMITED,42920697,1.68,2025-11-11
00003,"HONG KONG AND CHINA GAS COMPANY LIMITED, THE",646479750,3.45,2025-11-11
00004,"WHARF (HOLDINGS) LIMITED, THE",5531950,0.17,2025-11-11
00005,HSBC HOLDINGS PLC,1553987911,9.04,2025-11-11
00006,POWER ASSETS HOLDINGS LIMITED,146601685,6.87,2025-11-11
00008,PCCW LIMITED,237896096,3.06,2025-11-11
00010,HANG LUNG GROUP LIMITED,21472000,1.57,2025-11-11
00011,HANG SENG BANK LTD -HKD TRADED SHARES,10470285,0.55,2025-11-11
00012,HENDERSON LAND DEVELOPMENT CO LTD,70388976,1.44,2025-11-11
00013,HUTCHMED (CHINA) LIMITED,247757751,28.4,2025-11-11
00014,HYSAN DEVELOPMENT COMPANY LIMITED,31155020,3.02,2025-11-11
00016,SUN HUNG KAI PROPERTIES LIMITED -HKD TRADED SHARES,70770984,2.43,2025-11-11
00017,NEW WORLD DEVELOPMENT CO LTD,135668201,5.38,2025-11-11
00019,SWIRE PACIFIC LTD 'A',11552289,1.47,2025-11-11
00020,SENSETIME GROUP INC. -HKD TRADED SHARES,10033427266,25.93,2025-11-11
00023,BANK OF EAST ASIA LTD,598324,0.01,2025-11-11
00027,GALAXY ENTERTAINMENT GROUP LIMITED,72720547,1.65,2025-11-11
00035,FAR EAST CONSORTIUM INTERNATIONAL LTD,426843,0.01,2025-11-11
00038,FIRST TRACTOR COMPANY LIMITED,205939584,52.53,2025-11-11
00041,GREAT EAGLE HOLDINGS LIMITED,19256608,2.56,2025-11-11
00042,NORTHEAST ELECTRIC DEVELOPMENT COMPANY LIMITED,6374000,2.47,2025-11-11
00045,"HONGKONG AND SHANGHAI HOTELS LTD,THE",17520,0.0,2025-11-11
00059,SKYFAME REALTY (HOLDINGS) LIMITED,1823710000,21.59,2025-11-11
00066,MTR CORPORATION LIMITED,57806296,0.92,2025-11-11
00069,SHANGRI-LA ASIA LIMITED,10942000,0.29,2025-11-11
00081,CHINA OVERSEAS GRAND OCEANS GROUP LIMITED,529565807,14.87,2025-11-11
00083,SINO LAND CO.LTD.,130333429,1.42,2025-11-11
00086,SUN HUNG KAI & CO.LTD,23387000,1.18,2025-11-11
00087,SWIRE PACIFIC LTD 'B',61952500,2.16,2025-11-11
00095,LVGEM (CHINA) REAL ESTATE INVESTMENT COMPANY LIMITED,630418000,9.89,2025-11-11
00101,HANG LUNG PROPERTIES LIMITED,397096210,7.84,2025-11-11
00107,SICHUAN EXPRESSWAY COMPANY LIMITED,399907207,44.65,2025-11-11
00116,CHOW SANG SANG HOLDINGS INTERNATIONAL LIMITED,7578000,1.12,2025-11-11
00119,"POLY PROPERTY GROUP CO., LIMITED",1047071123,27.4,2025-11-11
00120,COSMOPOLITAN INTERNATIONAL HOLDINGS LTD,62348200,4.65,2025-11-11
00123,YUEXIU PROPERTY COMPANY LIMITED,567991301,14.1,2025-11-11
00124,GUANGDONG LAND HOLDINGS LIMITED,13023172,0.75,2025-11-11
00127,CHINESE ESTATES HOLDINGS LIMITED,899500,0.03,2025-11-11
00135,KUNLUN ENERGY COMPANY LIMITED,1464914305,16.91,2025-11-11
00136,CHINA RUYI HOLDINGS LIMITED,3808928429,23.22,2025-11-11
00142,FIRST PACIFIC CO. LTD.,114551000,2.68,2025-11-11
00144,CHINA MERCHANTS PORT HOLDINGS COMPANY LIMITED,331018901,7.87,2025-11-11
00148,KINGBOARD HOLDINGS LIMITED,52305000,4.71,2025-11-11
00151,WANT WANT CHINA HOLDINGS LIMITED,191378869,1.62,2025-11-11
00152,SHENZHEN INTERNATIONAL HOLDINGS LIMITED,442941876,18.12,2025-11-11
00163,EMPEROR INTERNATIONAL HOLDINGS LIMITED,5388000,0.09,2025-11-11
00165,CHINA EVERBRIGHT LIMITED,421596403,25.0,2025-11-11
00168,TSINGTAO BREWERY COMPANY LIMITED,300342677,45.84,2025-11-11
00173,K. WAH INTERNATIONAL HOLDINGS LIMITED,103967629,3.29,2025-11-11
00175,GEELY AUTOMOBILE HOLDINGS LIMITED -HKD TRADED SHARES,1259496693,12.44,2025-11-11
00177,JIANGSU EXPRESSWAY COMPANY LIMITED,561499835,45.94,2025-11-11
00178,SA SA INTERNATIONAL HOLDINGS LIMITED,1829183,0.05,2025-11-11
00179,JOHNSON ELECTRIC HOLDINGS LIMITED,124387783,13.3,2025-11-11
00185,ZENSUN ENTERPRISES LIMITED,20035000,1.04,2025-11-11
00187,BEIJING JINGCHENG MACHINERY ELECTRIC COMPANY LIMITED,49632000,49.62,2025-11-11
00189,DONGYUE GROUP LIMITED,524030139,30.23,2025-11-11
00200,MELCO INTERNATIONAL DEVELOPMENT LIMITED,135468550,5.95,2025-11-11
00207,JOY CITY PROPERTY LIMITED,3286000,0.02,2025-11-11
00215,HUTCHISON TELECOMMUNICATIONS HONG KONG HOLDINGS LIMITED,21402000,0.43,2025-11-11
00220,UNI-PRESIDENT CHINA HOLDINGS LTD.,372608028,8.62,2025-11-11
00241,ALIBABA HEALTH INFORMATION TECHNOLOGY LIMITED,1750599753,10.81,2025-11-11
00242,SHUN TAK HOLDINGS LIMITED,105654000,3.49,2025-11-11
00245,CHINA VERED FINANCIAL HOLDING CORPORATION LIMITED,1096500,0.05,2025-11-11
00256,CITYCHAMP WATCH & JEWELLERY GROUP LIMITED,1067986000,24.53,2025-11-11
00257,CHINA EVERBRIGHT ENVIRONMENT GROUP LIMITED,1887977623,30.73,2025-11-11
00267,CITIC LIMITED,1441156145,4.94,2025-11-11
00268,KINGDEE INTERNATIONAL SOFTWARE GROUP COMPANY LIMITED,985370480,27.75,2025-11-11
00270,GUANGDONG INVESTMENT LIMITED,511467478,7.82,2025-11-11
00272,SHUI ON LAND LIMITED,941474000,11.72,2025-11-11
00279,ARTA TECHFIN CORPORATION LIMITED,13925450,1.09,2025-11-11
00285,BYD ELECTRONIC (INTERNATIONAL) COMPANY LIMITED,259457647,11.5,2025-11-11
