code,name,shareholding,pct,date
00001,CK HUTCHISON HOLDINGS LIMITED,86095590,2.24,2026-05-28
00002,CLP HOLDINGS LIMITED,51539178,2.03,2026-05-28
00003,"HONG KONG AND CHINA GAS COMPANY LIMITED, THE",576759280,3.08,2026-05-28
00004,"WHARF (HOLDINGS) LIMITED, THE",4880950,0.15,2026-05-28
00005,HSBC HOLDINGS PLC,1540861069,8.96,2026-05-28
00006,POWER ASSETS HOLDINGS LIMITED,212733057,9.98,2026-05-28
00008,PCCW LIMITED,246176096,3.17,2026-05-28
00010,HANG LUNG GROUP LIMITED,21176000,1.54,2026-05-28
00012,HENDERSON LAND DEVELOPMENT CO LTD,77426251,1.59,2026-05-28
00013,HUTCHMED (CHINA) LIMITED,243969331,27.96,2026-05-28
00014,HYSAN DEVELOPMENT COMPANY LIMITED,27305725,2.65,2026-05-28
00016,SUN HUNG KAI PROPERTIES LIMITED -HKD TRADED SHARES,69786732,2.4,2026-05-28
00017,NEW WORLD DEVELOPMENT CO LTD,116893769,4.63,2026-05-28
00019,SWIRE PACIFIC LTD 'A',10821000,1.38,2026-05-28
00020,SENSETIME GROUP INC. -HKD TRADED SHARES,11026201286,26.11,2026-05-28
00023,BANK OF EAST ASIA LTD,2197430,0.08,2026-05-28
00027,GALAXY ENTERTAINMENT GROUP LIMITED,67154605,1.53,2026-05-28
00035,FAR EAST CONSORTIUM INTERNATIONAL LTD,426843,0.01,2026-05-28
00038,FIRST TRACTOR COMPANY LIMITED,212480480,54.2,2026-05-28
00041,GREAT EAGLE HOLDINGS LIMITED,18344162,2.44,2026-05-28
00042,NORTHEAST ELECTRIC DEVELOPMENT COMPANY LIMITED,6064000,2.35,2026-05-28
00045,"HONGKONG AND SHANGHAI HOTELS LTD,THE",17520,0.0,2026-05-28
00059,SKYFAME REALTY (HOLDINGS) LIMITED,1823710000,21.59,2026-05-28
00066,MTR CORPORATION LIMITED,129591046,2.08,2026-05-28
00069,SHANGRI-LA ASIA LIMITED,10790000,0.29,2026-05-28
00081,CHINA OVERSEAS GRAND OCEANS GROUP LIMITED,589190126,16.55,2026-05-28
00083,SINO LAND CO.LTD.,122840061,1.27,2026-05-28
00086,SUN HUNG KAI & CO.LTD,22971000,1.16,2026-05-28
00087,SWIRE PACIFIC LTD 'B',57531276,2.01,2026-05-28
